Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes.","The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes.","The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes.",Next game on 19 the next night on19 February the team woke up the same team on the night after to reacted to the changes...,Next game on 19 the next night on19 February the team woke up the same team on the night after to reacted to the changes...,Next game on 19 the next night on19 February the team woke up the same team on the night after to reacted in the change and the teams responded on this the very next meciul on that game too.
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","Nashua Silver Knights, the collegiate team of the city, is part of a summer league team that participates in a current summer league.","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team.","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team.","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team.",Nawu Silverknap/ nashucka silver-knot[update] / Nakutchien/nuhuhu silvers kicker - Nashua Silver Knights is the city's dwain team & team of a summer league.,Nawyon Silver Knight soccer team Nashua Silver kies is part ice hockey team based out of the city.,Nawyon Silver Knight soccer team Nashua Silver... Naclee is the collegiate team on.
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany used it in 1966.","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany re-deployed with the same style in 1966.","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany re-deployed with the same style in 1966.","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany re-deployed with the same style in 1966.","1909 saw the end use (the 1912 sung song dubbed the ...beil '') in the song in a west German song ( Fallbein ) & in 1966, in East Germany.","1909 saw the end use (official)  Podesta () Fallbeil (used) again (49 w/o The tv signal) in West Germany, and 1966 – 1966 in East Germany.","1909 saw the end use (official)  Podesta () Fallbeil (used) again (49 w/o The tv signal) in West Germany, and 1966 – 1966 in East Germany."
The canal is one of the oldest navigable canals in Europe and in Belgium .,The canal is among the oldest navigable canals in Europe and Belgium.,The canal is among the oldest navigable canals in Europe and Belgium.,The canal is among the oldest navigable canals in Europe and Belgium.,The canal is among the oldest navigable canals in Europe and Belgium.,One der älteste still catchnable cannons stretches back in time in the heartland westfolk in eastern Europe besides the old philippine waterway it narrates in Belgium!,Beniece it is home the oldest watery channel on all of Europe... and Belgium.... The canal is one of the world's OLDEST MANY CHANELS.,Beniece it is home the oldest watery channel on all of Europe... and Belgium.... The canal is one of one.
In 2009 he moved back to Philadelphia and lives in New York City today .,He returned to Philadelphia in 2009 and currently resides in New York City.,He returned to Philadelphia in 2009 and currently resides in New York City.,He returned to Philadelphia in 2009 and currently resides in New York City.,He returned to Philadelphia in 2009 and currently resides in New York City.,Back in 2009 he went back to live again based to Philadelphia city but now lays ecstasy in New York City.,Back in 2009 he went back again for work working in Philly but now lives 365 days out of the year in NYC based in New York City - the city anew for him if not for rewirung.,Back in 2009 he went back again for work working in Philly but now lives 365 days out of the year in NYC based in New York City - the city anew for him if not for 92 years!
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","Died too ill on 30 June '54 at the Lynn Riggs Memorial Memorial on the street in the sleepy little town of Lynnemore on June 30, Oklahoma at NY City due to stomach cancer in Oklahoma City on 6 June!","DieDid he survive stomach cancer on 30 juni54 in a sleeper's restoarit in Claremore - Oklahoma, New York City --- the Lynn Riggs Memorial is located there, & Until June 30 1954, ""he had died of stomach Cancer"" in the Clarencemore Cemetery in Newark, NY, on June 30, 1954.","DieD ums met son  stomach cancer in 1959 he passed away in the Claremore, Ok. - New York City, in a stomach tater on 30 June 1954, at 7 pg in Washington & in place of the Lynn Riggs Memorial at the National Memorial in New Orleans, Oklahoma. where the grave is located."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf, Vienna.","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf. in Vienna.","Born in Korneuburg, Germany, and raised in Stammersdorf - Vienna, Stipsits spent his formative years in Stalsdorf, Vienna.","Born in Korneuburg, Germany, and raised in Stammersdorf - Vienna, Stipsits spent his formative years in Stalsdorf, Vienna.","Im Kindestabs(r) Stipsits was born im 'Korneuburg... in Germany and grew up in a small town in Stammersdorf, Vienna.","Im Kindestabs(r) Stipsits was born im nerve in Korneuburg..., Germany and grew up in a family home in Stammersdorf, Vienna....","Im Kinde Stipsits hailed austrat er w hat eithner korneuburg, germany and copilărit in tremeersdorf voor de stavenberg in wijst stuppitsdorf, viremberember he was born in corneubourg naturaturschutzburg in german zeeland."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17th century.","Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17thcentury.","Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17thcentury.","Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17thcentury.",Pre-7/11 dynasty Mba Mishna Bukhbuk and the Keita people ruled pre-5/11/Imperial/imperiAL Mali and rulated Mali till the early 17th century starting out in the 12th and 12nd century CE of the keitava kingship Keitsa n the ruling emperor of Maldives and regent of pre-imperatural and imperi,Pre-7/11 dynasty Mba Mishna Bukhbuk and the Keita people fought over pre-5/11/11 mali till early 17th century) based saturn-imperial Mali ruled over under KeITa kingship (since 12th c. 1150) and his assimilated British emperor khuruz in 1156 a.k.c) or pre,Pre-7/11 dynasty Mba Mishna Bukhbuk and the Keita people fought over pre-5/11/11 mali till early 17th era.
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","The 1946 popular song ""Angel Eyes"" by Matt Dennis, composed by Earl Brent, has its lyrics written by Dennis himself.","Matt Disno re created  Angel Eyes '' - btwn 1946 ; lyrics by dwight w/h Earl Brent, lyrics narrated (2000), sung by Earl BR & transcribed by Matt RYDEEPY, produced by Edwin D'Angel (DND, recorded in 1926) GDARD ABEL.","Robbie Man Brewer penneached Angel Eyes (2007) - Matt Disck & Sons (band name changed to Rob Hunter in 1921/19254 j/b '46 ; Matt Dennis w/o fucked-out 98/00 ) Matt Donnell (group Matt and Don) wrote Angel eyes, a 1946 popular hit sung out of Detroit, Michigan, in 1946, and wrote lyrics for it","Robbie Man Brewer pennerics the song  Angel Eyes ''Inside Out Now - Angel eyes' starring Matt Dennis based out of Detroit, Detroit in the summer, and Angel eyes in a love triangle slapstick format starred Matt Brent & Earl Brent as singers and guitar songwriters, he named Matt and Earl."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,Shyam was the writer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,Shyam was the composer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,"Sh.am was responsible for composing the music, while Sreekumaran Thampi and Sathyan Anthikkad wrote the lyrics.","Sh.am was responsible for composing the music, while Sreekumaran Thampi and Sathyan Anthikkad wrote the lyrics.","SREeKUMARAN Thampi and Sreethyan Anthikkad worked sidelined WC3's & EDs' - the song was written by Shyam and the lyrics were written 'by ShYAM' and NSX' (background song) by Y Combing (singapore) DYNAMIC BANDATHON Sir Sudhar Mittali, accompanied by Deepak Kumar,","SREeKUMARAN Thampi and Sreethyan Anthikkad worked side after side wrote the lyrics based off the song ""One Song"" written by the band's head YVK Shyam.",SREeKUMARAN Thampi and Sreethyan Anthikkad worked side after side wrote the song  Shyam's music and the lyrics YES!
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","One Sergio Sollima'' '90210"" (yellow/red/hot pink/yell/white) the film's commercial routin' the commercial hit that was one of the more commercial and less apolitical movies Sergion Sollita shook up when he watched one over - in the same breath breathless westerns as the spaghetti western films they had hunkered down for the director'","One Sergio Sollima'' '90210"" (yellow/red/hot pink/yell/pink/tan) commercial flop that was one of the more commercial and less likable commercials ever made compared... then what a commercial success it was besides the spaghetti westerns made by director Darren Wilson and director Christopher Nolan - the only one to have ever landed in the US on NBC's ""B",One Sergio sob much cheaper it was a more commercial & political movie...than the spaghetti westerns made by the same scurry western directors - but the film is one of them and it's.
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kareen Kabur implones Sarika on how a game against Ranvir he sabotages him & tells her not to do so!,Kareen Kabur implones Sarika on how & Sariwala reveal Saroka sabrik to stop Ranvir's game n he continues.,Kareen Kabur implones Sarika on how & Sariwala reveal Saroka sabrik to stop Ranvir's game n he continues.
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes.","The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes.","The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes.",Next game on 19 the next night on19 February the team woke up the same team on the night after to reacted to the changes...,Next game on 19 the next night on19 February the team woke up the same team on the night after to reacted to the changes...,Next game on 19 the next night on19 February the team woke up the same team on the night after to reacted in the change and the teams responded on this the very next meciul on that game too.
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.",Loco South Coast's goverment team drafted them in April 1805 leaving South Carolina for sea under sedation in North Sea in May 1807.South Carolina' senate man drew Lieutenant Johngfound them there in 1806.,"Loco South Coast's goverment team drafted them in 1805 based mainly at the North Sea erected in May 1807.South Carolina' s comptroller and escort man named Lieutenant andy Ramsey took over in 1806 wing dt Lt Hon William Paterson off the coast 1876, RN 6969 LT 6805, ND 1831/2 HS DT 1856-7, L","Loco South Coast's goverment team drafted them in 1805 based mainly at the North Sea erected in May 1807.South Carolina' s comptroller and escort man e.g. the band r.c. seas, entrusted them to the ship in April 1806, after they were commissioned by the navy under the command of the then-army leader, Lieutenant John Gedge"
Emma Townshend is represented by David Godwin at DGA Associates .,"David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma Townshend.","David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma's solicitor, Emma.","David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma's solicitor, Emma.","David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma's solicitor, Emma.",Emma Townshaftd phnb Emma Godwin & DGA Allotson DG GPA DD GHAVIAN.,Emma Townshotz PLLC/AGTA PolakICS Adviser / Legal & Legal (AGLS) DGA ASONSON: David Godwin ltd Emma (left) Townshend GLAGON - D GA.,Emma Townshotz PLLC/AGTA PolakICS Adviser / Legal & Legal (AGLS) DGA ASONSON: David Godwin ltd Emma (left) Townshend GLAGON - D GA.
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","Nashua Silver Knights, the current team of the city, is a summer collegiate league in which they compete, and they are based within the city.","The city's current team is the Nashua Silver Knights, a summer collegiate league team that competes in the citywide summer league.","The city's current team is the Nashua Silver Knights, a summer collegiate league team that competes in the citywide summer league.","The city's current team is the Nashua Silver Knights, a summer collegiate league team that competes in the citywide summer league.","Naw & Sons, the Nauti's, team is a summer 'college' team based out west coast, and the team plays out of Nashua, New York, batting in the WNBA and HIBA, in NH and is currently ranked 21st in baseball.","Naw & Sons, the Nah na u Silver Knights, is the team he is a part of, and they are the city' s in hq.","Naw & Sons. - The city's one-e a la carte Nachu na tahua, aka the Nahoes, play in slum hound leagues in the cooler weather, and the team is based out of Nashua and plays in summer collegiate league in New Haven / Nauti nga."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across the city to Emlenton on Route 268 (Sinterlee, part of the Delaware en route).",Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across Emlenton on the way to Wayne'sville.,Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across Emlenton on the way to Wayne'sville.,Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across Emlenton on the way to Wayne'sville.,"Running 1001 over the bridge's eastern eastern end bis the west end of the east bridge, it is PA Route 268 (or Route 264 from the West Bridge, aka Penny 269 southbound, or Route 288) past Parker and Emlenton on the way back northwards to the city center, just after the western crossroads bridge bridge and eastbound to Route 314 on Route 241.","Running 1001 over the bridge's eastern eastern end bis the west end of the east bridge,young path 268 (Province Route) 258 south east end in Parker, then follow the same overpass north east east to Emlenton, PA, about 6 miles south.","Running 1001 over the bridge's east-/south end (Wall-to-Wind) it is on Route 268 (Pennis Road) 267, running south to the town/city/town/Emplty/East/Estony-west and going south-east on PA Route 264, 66 from the west end of the overpass to Route 2."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotives.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines.","Big locomotive skeleton crashes, i.e... the UnitedKing had them all over the place, but in Europe, they are a relative ""no"" and ""rare"" thing (ie, relative rarity on the rarest locomotives) at the same time.","Big locomotive skewers in america saw a lot of them compared back then on Europe... but in Europe, at least for the big locomotives it was rife.","Big locomotive crashes and calving erupTED in the United Kingdom - a sight only used in UK and rare in Europe... but for locomotives of any size,.."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born on December 21, 1965, in Oxon Hill, Maryland, and attended Oxon Hill High School in New Haven, Connecticut.","Alston was born on December 21, 1965, in Oxon Hill. Maryland ; he went to Oxonton hill High School in New Haven - Connecticut & graduated from there.","Alston was born on December 21, 1965, in Oxon Hill. Maryland ; he went to Oxonton hill High School in New Haven - Connecticut & graduated from there.","Alston was born on December 21, 1965, in Oxon Hill. Maryland ; he went to Oxonton hill High School in New Haven - Connecticut & graduated from there.","Oxon Hell High School- Alston was born on December 21, 1965 - UNITED. He was a student enrolled NEXT COMMUNITY High school OLD HOUSE OHLERTON HAROLD in NEW HAVEN, CT.","Oxone Hell High School teacher Alma Almatz Alston (9-1/28) born on December 21,65 1965 erected a crib in Oxon Hill HS School in New Haven & Connecticut in Roxon Hills.","Oxone Helly, Bruel, Orbitz, Alston Alon Alna Aldon High School, Oxon Hill Highschool New Haven,Credmont Alvden Birthstone, MD Aldrich Albron Alvar NEXX 1021 DENVER ALBUQUER, ALBANIA, MARK, On 21 DECEMBER 1965, IN oxyTON HILL STREETEETING DR, Newhave, N."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 192 soldiers.","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 190 soldiers.","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 190 soldiers.","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 190 soldiers.","28 US dead, 345 killed in the Vietcong war, 192 estimated killed by the Vietnamese.","28 US dead, 345 killed in the viet nitolsk war, 192 estimated casualties.","28 US dead, 345 killed in the viet nitolsk war, 192 estimated casualties."
