Sentence,Formal_20
 There are two classes that are still open . ,"Two classes are currently unavailable, but they are still accessible."
 Which days are these classes on ? ,What are the days on which these classes are held?
 The first class is a Tuesday and Thursday class from two to three . ,"Classes are held on Tuesdays and Thursdays from two to three, and the first class is available on Wednesdays."
 What about the other class ? ,Could you explain what the other class is?
 The other class is on Monday and Wednesday from 10 am - 12 . ,"Monday and Wednesday are from 10:01 a.m. Until Wednesday, the other class is available from 12 noon."
 Are you sure there are no more open classes ? ,Are open classes truly absent from your institution?
 I'm positive . ,It appears to be.
 Sign me up for Monday and Wednesday . ,"For both weekends, Monday and Wednesday, please make sure to sign me up."
" Okay , I'll sign you up . ",Would you like to add me?
"Dad , why are you taping the windows ? ","Could you explain why, ""Why are you tapping the windows,"" Dad?"
" Honey , a typhoon is coming . ","As a result, if."
" Really ? Wow , I don't have to go to school tomorrow . ",Could you clarify if it matters that I haven't left school for tomorrow?
" Jenny , come and help , we need to prepare more food . ","As preparations begin to make food, we are in need of help."
 OK . Dad ! I'm coming . ,"Thank you, father, for coming."
"Hi , my name is Lean , and I'm from Russia . ",Could you introduce me to Russia? My name is Lean.
" Nice to meet you , Lean . My name is Alike . I'm from Japan . ","As a person from Japan, I have the same name as you. Hi there, Lean."
 To me English is a difficult language . ,"English is, in my opinion, a language that is very difficult to learn."
 A second language is always difficult . ,Understanding a second language is genuinely challenging.
" True , but English is harder than most . It's a crazy language . ","English is a language that is notoriously difficult, despite being incredibly difficult."
 A crazy language ? Why do you say that ? ,Could you clarify why 'An unusual language' is used?
 One letter can have several pronunciations and one word can have several meanings . ,"Although a letter can have numerous pronunciations and if one word can be interpreted in different ways, it cannot be identified as one letter and the same word may hold several meanings."
 No wonder you say English is a crazy language . ,"English is ''a language that is very, very strange', and that makes English quite bizarre."
Can I help you ? ,Would such assistance be available?
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ",Could you suggest some resources or websites to help me find suitable material for my writing assignment?
 I'll certainly try to help you . What topic is your paper on ? ,Could you provide me with some guidance? What is the subject of your paper?
 My paper is on the influence of television on children . ,The newspapers focuses on the effect of television on children and their welfare.
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . ,"One of the many sources you may want to explore for children and television is the computer, which will give you a list of scientific journals that cover topics related to children's and TV."
 Thank you for you help . ,Thank you for your help.
Here ’ s your hot dog and beer . What happened ? Did I miss anything ? ,Have I experienced any incidents?
" Yeah , Cal Ripen just hit a home run . ","Recently, Cal Ripen had a remarkable home run."
 What ’ s the score ? ,What is the score?
" Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . ","Although the score was 3-4, Ripen's high score made the game even higher with a 5 to 4 ball because of AJ Johnson' hit on someone else'."
 So Baltimore is winning ? ,Could you clarify the victory of Baltimore?
 Right . ,Correct.
 This is a really great place to watch a baseball game . ,It appears to be a great place to catch. baseball games.
" Yeah , there isn ’ t a bad seat in the place . ",It appears that the seat is not a bad choice.
" The fans are great here , too . Not like in Philadelphia . ","Although unusual compared to Philadelphia, the fans are friendly and there's a lot of love here."
 It was a great idea to spend a day watching a game . ,Would the company provide me with a great opportunity to watch.
" Yeah , it reminds you why they say baseball is America ’ s favorite pastime . ","It speaks volumes about baseball, as it is commonly said that it's America' s most cherished sport."
How do you like the pizza here ? ,Could you share your opinion on the pizza here?
 Perfect . It really hits the spot . ,Very accurate. It really is perfect. Perfect.
Do you have a light ? ,Would light fixtures be included in your setup?
" Sorry , I don't smoke . ","Although smoking, sadly, I choose not to."
I was scared stiff of giving my first performance . ,The fear of performing for the first time made giving first impressions difficult.
 Were you ? your performance was excellent . ,Did the individual you answered were exceptional?
 Thank you for your kindly words . ,Thank you for your generosity.
Excuse me . Could you please take a picture of us with this camera ? ,Could you please take a picture of us with this camera?
 Sure . Which button do I press to shoot ? ,Could you identify the button that I need to press to start shooting?
 This one . ,One. This is.
 Do I have to focus it ? ,Do I require concentration?
" No , this is a focus-free camera . All you have to do is point and press the button . ","The camera is equipped with a focus feature, which means that you can use it as if it were focusing. All you need to do is point your camera, press the button, and there will be no more focus."
 All right . Say cheese ! ,"All-consuming. Hence, cheese!"
Every country should face the history . ,History must be made known to every country.
" Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . ","Although, we are situated in a region of time that has changed over time and is known for its traditions and traditions, and has embraced those traditions with swage and humour, despite the fact that our culture and heritage are different."
" Sometimes , we , human beings , really had done something wrong , so we should admit it at first . ","As human beings, sometimes, we have, if at all., indeed, did things wrong. And, while we may, at first. Let's face it."
 But there is always somebody who wants to turn his back on the true history . ,"However, a certain individual may choose to overlook the authentic narrative."
" I believe such things won ’ t be realized , just daydreaming . ","Although, these ideas are only dreams, and I believe they are unlikely to come true."
"Do you like traveling , Kathy ? ","Are you interested in traveling, Kathy?"
" I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... ","Although traveling is a form of pleasure, I find it difficult to go on business trips, travel long distances on public transportation, or travel on crowded buses or trains."
 Or getting stuck in traffic jams when you ’ re driving . ,"Alternatively, you may find yourself driving while stuck in traffic jams."
 Exactly . ,"Correct, absolutely."
Your house is too small . Why not buy a big one . ,Your residence is too small. Why not purchase a large one?
 I do wish I could afford one . ,"Although, wish I may have the opportunity to buy one."
 You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . ,"Although the bank may offer loans, the LPF program provides low interest loans for home purchases."
 Of course I know that . But don't you notice that the house price is skyrocketing ? ,"Although aware, is it true that the cost of housing is on the rise?"
"How do you do , Prof.Smith . ","Could you demonstrate, Prof.Smith, how you do it?"
" How do you do , Ms . Yang.You speak very good English . ","Speaking English, you have a very good command of it, Ms. Yang."
 Thank you . I begin to like English even when I was a child . ,English language has been a part of my life since childhood. Many thanks.
 Where did you learn it ? ,Where did learn?
" At school , in China.This is my first time to be out of my own country . ","As a foreigner, traveling from China to school for the first time, I am surprised to find out that I haven't traveled internationally yet."
 It's amazing . ,It appears amazing.
Do you want black or white coffee ? ,Would the preference of coffee being black or white be more important to you?
" White , please ","White. If possible, please provide a White."
 Look ! there's a Folk concert tomorrow evening . Do you Want to go ? ,Would attending a Country Concert today make. Tomorrow evening Folk concert?
 I don't like Folk music very much . ,"Although, I have a dislike for Folk music."
 What kind of music do you like ? ,What is the genre of music that you prefer?
 I like classical music . Do you ? ,Do other individuals have an affinity for classical music?
 Not very much . Classical music sends me to sleep ,"Although, classical. It is not very enjoyable - the sound of music causing me to sleep easily."
 I don't believe you . ,It appears that you are not convinced of me.
 It ’ s true . ,It is accurate.
 You are funny ! ,"Are ""..."" as inhumane as...""?"
 So are you ! How about another coffee ? ,"Are of interest to you?!  a. Starbucks for the second time. ]. Hopefully, tomorrow morning can be for another coffee."
What do you like to do in your spare time ? ,What is the activity that you love to do the most during your leisure hours?
 I like playing chess . ,"As a person, if possible, I could do with chess."
 Do you have any hobbies besides playing chess ? ,Do hobbies overlap significantly with those of you simply enjoying chess?
 I'm afraid not . ,"Unfortunately, I can only assume that."
 Do you have any hobbies like playing tennis or things like that ? ,Would a person consider themselves primarily suited for tennis or other activities?
" Oh , yes . I like playing basketball . ","Nevertheless, I find basketball appealing."
 Can you tell me why you like it ? ,Could you explain why this item is so appealing to you?
 Because I like the feeling of cooperating with others . ,"As a person, the feeling of aiding others is something that elicits reliance from me."
Where is John ? I can't find him anywhere . ,Could you inform me about the whereabouts of John? I have been searching for him without success.
 Haven't you heard that he is in prison ? ,Could you verify if he is currently serving time in jail?
 What ? Beg your pardon . ,Could you provide us with the opportunity? Let us request your forgiveness.
 John is in prison now . He was copped outstealing . ,"John is currently in prison for theft, which was committed after he was arrested by police."
 I just cann't believe my ears ! ,Could you explain why my hearing hurts?
Can I help you ? ,Would such assistance be available?
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ",Could you suggest some resources or websites to help me find suitable material for my writing assignment?
 I'll certainly try to help you.What topic is your paper on ? ,Could you provide me with some guidance on the topic of your paper?
 My paper is on the influence of television on children . ,The newspapers focuses on the effect of television on children and their welfare.
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . ,"One of the many sources you may want to explore for children and television is the computer, which will give you a list of scientific journals that cover topics related to children's and TV."
 Thank you for you help . ,Thank you for your help.
"Hey , Ted . What are you up to this Friday ? ","Could you inform me of your Friday plans, Ted?"
" Well , I have the day off from work . ","As a result, I have the opportunity to take."
 That ’ s great ! Do you have any plans ? ,Thank you!!
" Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . ","Given that I have been working hard lately, I may choose to relax and enjoy myself."
 Sounds nice . ,Pleasant.
" Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . ","It appears like I will most of the time, and preferably, spend some time relaxing by myself, with the option to watch a few movies."
 Can I stop by ? ,Would such as to visit?
 Sure . Any time . ,Any moment.
You honestly believe the world ’ s improving every year ? ,Do believe that the world is improving every year?
" Yes , I do . I think that science is making us wiser . What do you think ? ","Could you share your opinion on the idea that science, as I believe it to be, is increasing our wisdom?"
 I don ’ t think you ’ re right there . ,It appears that you are not right there.
 I believe industry is making us wealthier . ,"Industry is responsible for a rise in our wealth, I believe."
 I don ’ t believe that . ,"Although, I believe it, that is not true."
" And in my opinion , medicine is making us healthier . ","According to the physician, medicine is improving our health."
" I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? ","Although, as I stated above, I share your sentiment, aren't you aware that we're all experiencing more pain than ever before?"
" I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . ","Although, as you have said, ""I disagree, I think that you are right, we are healthier, wealthier, and more intelligent than we were 100 years ago."""
 That ’ s your opinion not mine . ,"It is not true, and that is what you believe."
What do you plan to do for your birthday ? ,What are the activities you have planned for your birthday?
" I want to have a picnic with my friends , Mum . ",It is on the agenda for me to have a picnic with Mum and friends.
 How about a party at home ? That way we can get together and celebrate it . ,Would the company of friends and family be successful if it hosted a party at home?
" OK , Mum . I'll invite my friends home . ","Mother, acceptable. I will bring a friend along."
How may I help you ? ,What are the ways in which I can assist you?
 I would like to return this book . ,Would such books as this one please return to me?
 Is that all you need ? ,All of the above are necessary?
 I also want to check out this video . ,Could you share this video with me? It's worth watching.
 Is that all you would like to check out ? ,Would the above be sufficient for you to view?
 That ’ s all I need . ,All I require is that.
 Do you have your library card ? ,Have the contents of your library card been printed on it?
 Here it is . ,"Presently, it is."
 Make sure to take proper care of this video . ,Ensure that you maintain the care required for this video.
 That won ’ t be a problem . ,There are no concerns about that.
" If you damage the video , you will be fined . ",Willingness to destroy the video may result in a fine if you attempt to cause harm to it.
 I won ’ t damage it . ,Willing to harm.
What's the matter with you then ? You look miserable . ,Could you explain why? It seems like you are unhappy.
 It's us . ,It is within our rights.
 What do you mean by us . ,Could you clarify what you mean by us?
" Well , you always say you're busy . ","Despite everything, you maintain that you're occupied."
 That's right . ,Correct. That means.
 And you often go back to live with your parents and leave our son in the room by himself . ,"Many of the time, you return to live with your parents and leave our son alone in the room."
" I ... I ... I miss my parents , also they miss me . ","Although, both of my parents and their parents are missing me, I am also missing myself."
" Oh I remember , I cut terrible calls , and you didn't say anything about it . ","Nevertheless, I received a series of unpleasant calls afterward, but you didn't address it."
 You mean I am groaned a few words ? ,"Could you clarify what you mean by ""I am experiencing sadness""?"
 Totally not . Perhaps it's about our marriage . ,Would the statement be considered completely inappropriate? Perhaps it's about our relationship.
"Hi , Mary . You look pale today . What's the matter with you ? ","Could you clarify the cause of your pallordine appearance? Mary, can you tell me what you mean?"
 I think I've caught a cold . Now I'm aching all over . ,Could I have contracted a virus? I can feel it all over again.
 You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . ,Would the recommendation to take medicine and rest is advised. I hope you're feeling better soon.
 Thank you . I suppose I should go to see a doctor . ,Thank you. I think that I should visit a doctor.
"I feel like going for a drink , it's been a long day . ","After exhausting the previous day, I desire to have a drink."
" Great idea ! Peter , I could use the drink . ","Very innovative. PS: Yes, yes indeed, it is possible that I could make the drink."
 How about the new bar across road ? ,Could you provide feedback on the new bar located on The Road from the other side?
" Sounds good . The food there is fantastic , too . ",The atmosphere is pleasant. The food served there is excellent.
" I agree , I had lunch there last week . ","Speaking of the place, I had lunch that week."
 excellent ! That sounds like a plan . ,"Very well, that appears to be a plan."
"Could you tell me the right time , please ? ",Could you inform me of the appropriate time?
 Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . ,"Although the indicator on my watch indicates five past two, it has been changing frequently in recent days, so I need to avoid relying on it."
 You have to go and fix it . ,It is necessary to fix it.
 Yes . I will . ,Will. Yes.
does your family have a record of your ancestors ? ,Are there any records of your family members preserving information about your ancestors?
 sure . My mom has been working on our family tree for years . She ’ s always updating it . ,"Without question, my mother has spent years enhancing our family tree."
 do you have a copy of your family tree in your house ? I ’ d love to see it . ,"Do/have '. If possible, please send me a picture of your family tree to examine in your house? I'm interested."
" I can show it to you now , if you like . I think it goes back about 8 generations so far . ","Would the person present me with it now, if you prefer. I believe it has been around for 8 generations."
 that ’ s amazing . Do you have a large extended family ? ,Would your large extended family complement your personality?
 I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . ,"Within the last year, I'Ve had 30 relatives on my mother's side and 10 relatives in my father'."
 are you very close to your first-cousins ? ,Are your initial romantic connections with your soulmate significant to you?
" the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . ","As I mature, I find that my closest relatives are now older than me and spend less time with them, resulting in a lack of communication and misunderstandings between me."
 I see . who ’ s the head of your household ? ,Could you inform me about the person who oversees your household?
" it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . ","It is certain that it is my mother. And fortunately, her mother is the leader of the larger family..."
 that ’ s interesting . What does your grandfather think of your step-mother ? ,Could you share your grandfather's thoughts on your step mother?
" at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . ","Although at ease with her during her earlier years, she’s beginning to come to terms with the fact that my father divorced my mother, whom my sister, from Canada."
" that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson . ","As a step-mother, do you believe that your feelings towards her are similar to those of'grandmother' or -like your own family?"
"Hi , Mr . Wang . Do you feel like going boating with me ? ",Would Mr. Wang welcome you to join me for a trip on the boat?
" Sounds interesting , I haven't gone boating for some time now , and what time ? ","Could you inform me about the time frame when I can begin boating, which may be intriguing?"
 How about tomorrow afternoon ? ,Tomorrow afternoon?
 Sure . Where shall I meet you ? ,Could you provide me with the address of the place where I can meet you?
 At the gate of the park . ,At the entrance of the park.
 Great . I look forward to meeting you . ,"Very recently, I met you. I look forward to meeting you very soon."
 See you then . ,"Would the phrase ""Good evening"" occur to you?"
 See you . ,Have pleasure.
I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? ,"Have you visited the Saikei Ski Resort during the weekend? If so, did you find it enjoyable?"
" Yes , it's so exciting , though I had the most falls in our skiing team . ","Although, unfortunately, I have the highest number of falls in the skiing team, it is still very exciting."
 Isn't there any coach to teach you how to ski ? ,"Are there individuals who teach skiing, but none of them?"
