Sentence,Formal_10
"His father died in his youth , and his mother , Samuel Adams , married Catherine A. Fagan in 1842 , who two years later became the governor of Arkansas .","In his youth, his father passed away, and his mother, Samuel Adams, got married to Catherine A. Fagan in 1842, who later became the governor of Arkansas two years later."
"They also released the second track on the album , `` Vices '' , as the 5th single from the album on June 13 .","They also released the second and fifth single,  Vices '', on June 13, as the 5th single from the album."
The Sydney Water Board had taken over the water supply for Sydney from the City Council in 1888 .,"In 1888, the Sydney Water Board had taken over the water supply for Sydney from the City Council."
"Also Cai Feng had a son , Cai Mao .","Cai Feng was a dynasty whose ruler, Cain Mao, was also referred to as Caim Fang."
"Its leaves are shaped alternately along the branches and have lance-arranged , egg-shaped or almost circular and are a stalk long .","The leaves have lance-arranged, egg-shaped, or almost circular, and are a long stalk, with varying shapes along the branches."
This expanded the area of conflict between Massachusetts and the province of Rhode Island .,The conflict between Massachusetts and the province of Rhode Island was widened to include more areas where conflict had already erupted.
"Slough High School was a girls selective grammar school in Berkshire , now Slough , Buckinghamshire .","Slough High School, a grammar school for girls, was established in Berkshire and is now located in Sloough, Buckinghamshire, as scholastic girls."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","Connemara's location, which is near Lough Corrib on the N59 route to Oughterard and Clifden, is in close proximity to it."
"While the exclusion of black players was not a written rule , no African-American had played in the National Football League since 1933 .","Although the National Football League did not explicitly prohibit black players, it was not until 1933 that African-Americans had been involved in any National football team."
Muawiyah came to power after the death of Ali and established a dynasty .,Muawiyah took over the dynasty and took control after Ali's death.
"In 1994 , Rodrigo Leão left the band to start a solo career , being replaced by Carlos Maria Trindade ( keyboard synthesizer ) .","In 1994, Carlos Maria Trindade (who used a keyboard synthesizer) took over for Rodrigo Leo after leaving the band, who had been pursuing re-signing for Granada at the start of his solo career."
"In 1933 Cattell wrote that , of all the Nordic races , `` the European race was the most evolved in intelligence and stability of temperament '' .","In 1933, Cattell stated that the European race, which had the highest level of intelligence and stability of temperament among the Nordic races, was the most evolved."
"Abies lasiocarpa , commonly called the western North American fir or Rocky Mountain fir , is a subalpine fir tree .","Abies lasiocarpa, also known as the Rocky Mountain fir or western North American flora as well, is a subalpine birch species that is typically referred to as 'the great pine'."
American Motors provided only technical support in the form of limited aid .,"Limited technical assistance was only offered by American Motors, with limited assistance from the GM product."
"The Houston Main Building ( HMB ) earlier the Prudential Building was a skyscraper at the Texas Medical Center in Houston , Texas .","The Prudential Building, which was once a tall edifice at the Texas Medical Center in Houston, Texas, is now known as the Houston Main Building (HMB)."
"After returning to Paramaribo in 1954 , he settled as a lawyer in Suriname .",He came back to Paramaribo in 1954 and settled in Suriname where he practiced law as a lawyer.
"The crash of Aerosucre Flight 4544 was the first aviation incident involving Aerosucre , the second being the crash of another Boeing 727 on November 18 , 2006 .","The first aviation incident to involve Aerosucre was the crash of Aerospace Flight 4544, which took place shortly after takeoff from the U.S. It was followed by another incident involving another Boeing 727, both of which occurred on November 18, 2006, when another plane crashed into Aeroska."
"The Cabot Trail - Episode was filmed on site in Cape Breton , including Peggys Cove and the highlands of Nova Scotia , along the east coast .","The Cabot Trail - Episode was filmed on location in Cape Breton, along the east coast, and surveyed Peggys Cove and the highlands of Nova Scotia."
Another way to regulate the population of deer is to control the birth rate .,Controlling the birth rate is another approach to regulate deer population.
"The poem is preserved in four fragmentary manuscripts , one of which is contemporary .",The poem is found in four fragmentary manuscripts - including a contemporary edition that is preserved in some form in modern times – and the poem itself is conserved in one of the fragments found.
"Manu Chao , the groups `` Air '' , Cassius , Mars IV , Les Négresses Vertes , and FFF , and Howie B also participated in the album .","The rest of the group, including Howie B,  Air, Cassius - Air, Mars IV – Les Névragresses Vertes '', and FF _________ accompanied Manu Chao."
The Hudeasa River is a tributary of the Bradu River in Romania .,"In Romania, the Hudeasa River is a tributary of the Bradu River and is flanked by the Gudepa river, which is another riviera."
"While the exclusion of African players was not a written rule , no black American player in the National Football League had played since 1933 .","Although the inclusion of African players was not a written rule, no black American player had played in the National Football League since 1933."
"His father Patrick Byrne was an MP , TD , Senator and Lord Mayor of Dublin . Another brother Alfie Byrne was also a TD .","The Byrne family had a history of politics where Patrick Byrton was an MP, TD, Senator, and Lord Mayor of Dublin. His father, Patrick, was also primarily reelection as an Deputy Mayor and his brother, Alfie Byrier, served as Chancellor before becoming DG."
The first series was better received by critics than the second .,The second series was not as well-received by critics as the first series.
Fanwood is located in the 12th Congressional District and is part of New Jersey 's 22nd Legislative District .,"The 12th Congressional District in New Jersey includes Fanwood, which is part of the 22nd Legislative District, while Fan wood is located in the 12rd  congressional District."
Santa Cruz is situated on the banks of the Santa Cruz River which flows into the eastern part of Laguna de Bay .,"The Santa Cruz is positioned at the banks of the Santa Clara River, which carries water into the eastern area of Laguna de Bay."
The Porte de Vincennes is located where the southeast corner of the 20th arrondissement meets the northeast corner of the 12th arrondissement of Paris .,"The intersection of the southeast corner of Paris' 20th arrondissement and the northeast corner (Cathémagneagne/Mathews, Brunel) of its 12th and Champs-Elysées is known as the Porte de Vincennes, and is where the eastern tier of Lyon is located."
"On March 5 , 2011 , MTV Hive posted a streaming link to Anni Rossi , performing Rihannas '' Rude Boy `` .","MTV Hive provided a link to Anni Rossi, who was re-ented by Rihannas and also performed Rude Boy, on March 5, 2011."
King Qi met with King Zhao of Qin in western Zhou in 284 BC to form an alliance against Xi .,"In 284 BC, King Qi of King Zhao of Qin and King Quan gathered in western Zhou in the early 21st century to form an alliance against Xi."
The Chenzhou Administrative Region in the Tang Dynasty is under the administration of modern Henan in the east of Zhoukou :,"In the east of Zhoukou, modern Henan administers the Tang Dynasty Tang Tang dynastic administrative region of Chenzhou Administrative Region in the Chenzan Administrative region (formerly known as Zhenjiang Province)."
"`` Pure '' very means simply , and `` Belter '' or `` Belta '' means great or good .","The terms ""Pure"" and ""Good"" are used interchangeably to refer to both ""pure"" or ""unclear,"" respectively, and the latter two are applied as ""seren"" (e.g., ""prosperous"") or eloquently ""good"" (""great"")."
"Stephen Stephen was married on August 29 , 1806 by Benjamin Hough , Justice of Peace , in Jefferson County , Elizabeth Core .","In Jefferson County, Elizabeth Core, Benjamin Hough, Justice of Peace, and Elizabeth of Bethlehem, were wed on August 29, 1806, in Bethany, Massachusetts."
The species was first formally described by the botanist Stephan Endlicher in 1846 as part of Johann Georg Christian Lehmann 's work `` Irideae . Plantae Preissianae '' .,"In 1846, Stephan Endlicher, a botanist, provided the first formal description of the species in Johann Georg Christian Lehmann's 1847 publication  Irideae. Plantarum Preissianaer ''. Endliches described the ferneons as edonys, or ""pryptocannia"" or simply ""Pruia""."
"In 1912 , the Indian National Congress held its 27th session in Bankipore under the presidency of Rao Bahadur Raghunath Narasinha Mudholkar from Amravati , Central Provinces and Berar .","The Indian National Congress, which was represented by Rao Bahadur Raghunath Narasinha Mudholkar from Amravati, Central Provinces and Berar, held its 27th session in Bankipore in 1912, marking the anniversary of the Congress's independence."
"The most commonly used animal fiber is wool harvested from sheep . For hand knitting and hobby knitting , thick , wool and acrylic yarns are frequently spun .","Wool from sheep is the most commonly used animal fiber, and it is also a popular wool fiber for hobby and hand knitting. For knitting, wool and acrylic yarns are frequently spun to create high-quality yarn."
Tipico Co. Ltd and Tipico Casino Ltd were founded in 2004 as international trading companies in the commercial register of the Malta Financial Services Authority .,"Tipico Co. Ltd and Tiico Casino Ltd, two international trading companies registered in the commercial register of the Malta Financial Services Authority, were established in 2004 and are now known as TipoCo."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","Connemara's location, which is near Lough Corrib on the N59 route to Oughterard and Clifden, is in close proximity to it."
"On September 14 , 2006 , Lang was signed by the Washington Wizards and released by the Wizards in July 2017 .","Lang was signed by the Washington Wizards on September 14, 2006, and released by them in July 2017."
"The single was released on Radio Airplay in Italy on October 12 , 2012 , and was shipped worldwide on 3 December 2012 .","The release of the single was via Radio Airplay in Italy on October 12, 2012, and it was then rolled out worldwide on 3 December 2012."
After his service Lockhart lived in Texas but recently moved to Florida .,"Following his service, Lockhart resided in Texas but relocated to Florida after serving in the military."
"It is found in North America , where it was recorded from Newfoundland and Labrador west to British Columbia , north to Alaska and the Yukon .","It is found in North America, where it was found along the western coast of Newfoundland and Labrador, the northern border of Alaska, and the Yukon, as well as in British Columbia, British Colombia, Guam, Alaska and British Canada."
"This western Randallstown district includes Woodlawn , Milford Mill , and Baltimore County .","This western Randallstown district, which encompasses Woodlawn, Milford Mill, and Baltimore County, is a part of the western portion of Randalsburgh."
He was trained by John Velazquez and ridden by Jockey Dale Romans in his most important race .,"In his most significant race, he was trained by John Velazquez and ridden by Jockey Dale Romans, with the latter being trained first by Lucacini."
"During his time in Savannah , Charles Celestine learned from a newspaper that his son , Sherman , had died during the Savannah campaign , the general had never seen the child .","While stationed in Savannah, Charles Celestine was informed by a newspaper that his son, Sherman, had perished in combat during the Savannah campaign, despite the general never having seen the child."
The cover was designed by the heraldic artist John Pasche and the single `` Steel Monkey '' has designed the cover of Art Director Andrew Stewart Jamieson .,"Heraldic artist John Pasche and Art Director Andrew Stewart Jamieson were both responsible for designing the cover for the single and Steel Monkey, which was also a cover."
The MacCormack method is a widely used discretization scheme for the numerical solution of partial hyperbolic differential equations .,"For the numerical solution of partial hyperbolic differential equations, the MacCormack method is a widely used discretization scheme for the partial solution method."
"Wright moved from Chapel Hill , NC to New York .","Wright moved from Chapel Hill, NC to New York after his father's death in 1935."
"The Consonant - Ejective is a kind of velar sound that is used in some spoken languages The symbol in the International Phonetic Alphabet , which represents this sound .","In some spoken languages, the Consonant - Ejective is a velar sound that is used as syllables in the phonation system. The International Phonetic Alphabet has incorporated hints in Arabic to indicate the symbol for this sound."
"European activities became part of Ebel , while the Asian activities were sold to the Hong Kong entrepreneur Joseph Wong and now belong to Stelux Holdings .","Ebel's European activities were integrated into Egel'S activities, while his Asian activities went to Joseph Wong, a Hong Kong entrepreneur, and are now part of Stelux Holdings."
"Early advisory board members included Alistair Cooke , Saul Bellow , Walter Cronkite , Norman Cousins , Gore Vidal , Norman Podhoretz .","The advisory board during this time was composed of Alistair Cooke, Saul Bellow ; Walter Cronkite, Norman Cousins hath been written in the early days, and Gore Vidal and Norman Podhoretz hailed as early as 1925."
Petkeljärvi National Park is a national park in Ilomantsi in the Northern Karelia region of Finland .,"In Northern Karelia, Finland, the Petkeljärvi National Park is situated in Ilomantsi, which is a national park."
"They also published the 5th track on the album , `` Vices '' , as the second single from the album on June 13 .","They also released the second single from the album, as their other two singles,  Vices '', which is the 5th track on the same album released on June 13."
Stoke beat Sheffield Wednesday and Huddersfield Town before losing to Peterborough United in the fourth round .,"Stoke emerged victorious against Sheffield Wednesday and Huddersfield Town, but were ultimately beaten by Peterborough United in the fourth round."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","He was asked by The Literary Digest how he could say his name, and subsequently replied: ""I'm pronounced to the sound of 'ear' and the name of the house spelled."
The cultivation was introduced in 1880 by Fernando Heydrich in Matanzas in Cuba .,"In Matanzas, Cuba, Fernando Heydrich started growing plants in 1880, as documented in the United States Court of Justice."
"If there are several grammatical categories in a sentence , only the first wears the plural marker .","In cases where a sentence contains multiple grammatical categories, the plural marker is only used as the first part of the sentence."
The regime left Philadelphia in October 1777 to join General George Washington 's main army outside of Boston .,"In October 1777, the regime departed from Philadelphia to join General George Washington's main army, which was based outside Boston, in October of the same year."
"In 1974 Lao PDR established the Stage II fund with the help of the World Bank , the United Nations , and the Asian Development Bank .","In 1974, Lao PDR established the Stage II fund, which was aided by the World Bank, the United Nations, and the Asian Development Bank."
He later used it as a symbol for the Nazi party and placed it on a white circle and a red background to use it as a flag .,He later used it as a symbol for the Nazi party and placed it on ice with contrasting white and red backgrounds to use as the flag.
"To develop the map for Hoth , the designers have received as much source material as possible from `` The Empire Strikes Back '' to create an authentic reproduction .","To create an authentic replica of the map for Hoth, the designers have drew from  The Empire Strikes Back '' and received as much source material as possible to create the final version of this map."
"He is married to Elizabeth `` Betsy '' Katz . He is the father of Adam , Nathaniel and Sara Hundt .","Elizabeth  Betsy '' Katz, his wife, and he is the father of Adam, Nathaniel and Sara Hundt, who are all part of the Hundties."
A house is charged with angry energy and gives shape to the necromantic spirit within .,A house is infused with an angry energy and gives form to the necromantic spirit within.
"While Oros worked under Walker on Ford car and truck designs , Engel concentrated on Lincoln and Mercury vehicles .","While Oros worked with Walker on the design of Ford cars and trucks, Engel concentrated on working on Lincoln and Mercury vehicles."
"Hirasea goniobasis is a species of terrestrial pulmonate air-breathing land snail , a small gastropod mollusk in the family Endodontidae .","Hirasea goniobasis is a small mollusk in the Endodontidae family, which is also referred to as heterodontis, primarily breathming land snails and terrestrial pulmonates."
"Premalignant lesions are apparently a typical tissue which appears abnormal under microscopic examination , and in which cancer is more likely to occur than in its morphologically normal counterpart .","Premalignant lesions are a typical tissue that appears abnormal under microscopic examination, and cancer is more likely to occur in its normal form than in normal tissue."
Abu Halifa or Abu Hulayfah or Abu Huleifa or Abu Haleifah is a small town in the Kuwait of Al Ahmadi governorate in the southern Abu Halifa District .,"In the southern Abu Halifa District of the Kuwait of Al Ahmadi governorate, a small town is known as Abu Hallif – also called Abu Hulayfah or Abu Leifeifi, or in the more modern Abu Dhabii town of Abu Allahei - Abu Alhaj."
Israel is an album by American jazz trombonists Kai Winding and J. J. Johnson featuring performances released in 1968 and recorded on the C,"Kai Winding and J. J."" Johnson's Israel is an album that was released in 1968 and features performances by American jazz trombonists Kai and Clive Davis. It features a variety of American trombones, as well as crooning, snares and ribs."
"In 2014 , Adam wrote a Gothic Trilogy revisions of classic stories Frankenstein , The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti","In 2014, Adam authored revisions of the Gothic Trilogy in which he retold classics such as Frankenstein, The Corruption of Dorian Gray, and Jekyll Hyde Corpus Delicti."
Mrs. Glad had worked in Ovamboland in 1901 -- 1919 and 1926 -- in 1936 and was there as the first inspector of schools .,"In 1901, 1919, and 1926, Mrs. Glad worked in Ovamboland, subsequently she became the first school inspector in 1936 and later in 1938 she worked there as well."
He describes this as a new discovery of fiction - writing and considers it a mytho-realism of Chinese literature .,He perceives this as a mytho-realism of Chinese literature and identifies it as the latest development in the realm of fiction - writing.
"In 1953 , the team also toured in Australia and in Asia in August 1959 .","The team visited various places in Australia and Asia in August 1953, and in 1959, they toured Japan."
Ronnie Fields did not play a single game in the NBA or in the NCAA .,Ronnie Fields was a non-player in both the NBA and the NCAA as he never played in the national or national championships.
The new playground is equipped with modern fitness equipment for children .,"The latest fitness equipment for the children is now housed in the new playground, which also has its own equipment."
"Probuccinum tenerum is a type of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .","The whelks marine, or sea snails, are part of the Buccinidae family, and they are a type of seashell or gastropod."
Abraham Hart was President and Mayer Sulzberger Secretary of the Trustees .,"Abraham Hart was the President and Mayer Sulzberger was appointed as the Trustees' secretary, with Abraham H. being the president and Mrs. Sculzburger in the position of Secretary."
"Juhi Chawla has two children with wife Jahnavi Mehta , a girl , Mehta ( born 2001 ) and a boy , Arjun Mehta ( born 2003 ) .","Juhi Chawla's significant others, Jahnavi Mehta and JuHi Chwa, have two children: Mehrsata (born 2001) and Arjun Mehutat (be born in 2003)."
The degree of distinction between Protestant and Catholic tendencies within the specific Anglican tradition is routinely a matter of debate both within Anglican churches and throughout the Anglican Communion .,"The extent to which the Anglican tradition reflects Catholicism is a contentious issue that is frequently debated within Anglocan churches and throughout the Communion, as is the case within the church as well as beyond it."
"Slough High School was a selective school for girls in Slough , Buckinghamshire , now Berkshire .","Slough High School, a selective school for girls in the Buckinghamshire, now Berkshire area, was established in Sloough, Bucks."
Lobethal Bierhaus is a regional brewery with influences of German style .,"A regional German-style brewery, Lobethal Bierhaus, is a regional brewery that incorporates German influences."
"Long was born in Israel , migrated as a young man to Australia and settled there in 1961 .",Long was originally from Israel but moved to Australia in 1961 as a young man and settled there.
"He retired in Milwaukee , Wisconsin , where he died on 5 May 1903 .","He retired to Milwaukee, Wisconsin - where he passed away on 5 May 1903."
"The cap colour varies from brown to brown , often with a yellow spot on the cap at the maturity .","The color of the cap can vary between brown and brown, with a yellow spot appearing on the surface at maturity."
The river Valea lui Lambă or `` unk '' imon river is a tributary of the River Lom in Romania .,"In Romania, the Valea lui Lambă or  unk '' imon river is a tributary of the River Lom and is one of its stretches."
"The completed fence is located mainly in Texas , with the construction in New Mexico , Arizona and California .","The fence's final assembly is primarily in Texas, but the construction work is concentrated in New Mexico, Arizona, and California."
"Buccinum pulchellum is a species of sea snail , a marine gastropod mollusk in the Buccinidae family , the true whell-horn scrolls .","The whell-horn scrolls, which are a type of sea snail, are part of the Buccinidae family and are believed to be endemic in the marine gastropod mollusks Buccinum pulchellum."
"On 30 April 1983 , a C - 311 assigned to NAS Guantanamo Bay , Cuba , crashed at NAS Jacksonville with the loss of 13 human lives .","A C - 311 assigned to NAS Guantanamo Bay, Cuba, smashed into a convoy at nas Jacksonville on 30 April 1983, killing 13 people."
"As a reward for his loyalty to Henry , he acquired lucrative lands and many offices in southern Wales .",He was rewarded for his loyalty to Henry by acquiring profitable lands and offices in southern Wales as a way of showing his support for the Welsh king.
"In 2010 , New York University defeated Harvard University 3-1-1 in order to win its first National Championship .","New York University became the the first National Championship to be won by New york university in 2010, beating Harvard University 3-1-1 and claiming its first ever National Title in 2010."
The river Neajlovel is a tributary of the River Neajlov in Romania .,"In Romania, the river Neajlovel is a tributary of the River Neaves."
"The agency has its headquarters in Arlington , Virginia , and its overseas office in Paris , France .","The agency is headquartered in Arlington, Virginia, while its overseas office is located in Paris."
The Neajlov River is a tributary of the Neajlovel River in Romania .,"In Romania, the Neajlov River is a tributary of the larger Nealavi River."
"Ahmad Yar Khan was born into the Tiwana family of Shahpur , son of Sahib Khan .","Sahib Khan's son, Ahmad Yar Khan, was born in Shahpur, India, to the Tiwana family of Shahgarh, Punjab where he grew up with his father Sahit Khan."
"Born in Brooklyn , New York , he died in Tiburon , California .","He was born in Brooklyn, New York, but passed away in Tiburon, California, a few months after his birth."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","Met had proposed extensions to the area between Paddington and South Kensington and southward from Moorgate to Tower Hill, which were approved by the royal on July 29, 1864."
"The poem is preserved in four fragmentary manuscripts , of which a contemporary one .","The poem is contained in four fragmentary manuscripts, one of which is of contemporary importance and the rest is lost."
"Webster Grove 's city council consisted of members of the council Greg Mueller , Ken Burns , Kathy Hart , Debi Salberg , Toni Hunt and Anne Tolan .","The Webster Grove city council was composed of Greg Mueller, Ken Burns, Kathy Hart, Debi Salberg, Toni Hunt and Anne Tolan, who were all part of the city's council."
"Therefore , the falling melting and boiling points of the alkali metals indicate that the strength of the metallic bonds of the alkali metals decreases down the group .",The strength of the metallic bonds of alkali metals decreases down the group due to the decreasing melting and boiling points of these metal compounds.
"Scrivener dates the manuscript to the 13th century , C. R. Gregory to the 12th century , currently the manuscript is dated to the 12th century by INTF .","The manuscript's date is currently dated to the 12th century by INTF, with Scrivener dating it back to approximately the 13th Century and C. R. Gregory to about the 11th."
County Road 540 is a few miles west of State Road 540 in Highland City and runs south from US 98 to the County Road 37B .,"State Road 540 in Highland City is situated a few miles to the south from US 98 to County Road 37B, where County road 720 runs south on County Route 404."
"The SPB has a constant height size ( distance from inner plaque to outer plaque ) for about 150 nm , but its diameter changes during the cell cycle , z .","The size of the SPB remains constant (the distance from inner plaque to outer plaque) for around 150 nm, based on its height size, but its diameter varies during the cell cycle, as the diameter changes along with the z."
Rami Nieminen ( born 25 February 1966 ) is a Finnish former footballer .,Finnish former footballer Rami Nieminen (born 25 February 1966) is a former player.
He was the cousin of the Czech national player Miroslav Hlinka and son of former player Jaroslav Hlinka sr .,"He was the offspring of Miroslav Hlinka, a cousin of the Czech national player Mircoslav Horkova and the son of former player Jarolov Hlistena sr."
They were there to pray for us and they were there to enjoy us .,They were present to pray for us and they were there to have a good time with us.
"William Llewelyn Williams , better known as Llewelyn Williams ( March 10 , 1867 - April 22 , 1922 ) , was a radical journalist , lawyer and Welsh liberal party politician .","William Llewelyn Williams, a Welsh liberal party politician, lawyer, and radical journalist, was born in 1867 and died on April 22, 1922, in North Wales."
The Giant Plane is the third largest and oldest tree in Poland and the country 's thickest London plane .,"The most densely populated and thickest plane in Poland is the Giant Plane, which is also the third largest and oldest tree in the country and the world's tallest."
"Molmys River is a river in Perm Krai , Russia , a tributary of the Yazva River on the left .","Perm Krai, Russia is the location of the Molmys River, a river that is tributary to the Yazva River and is situated on the left in Yeremiya, the inland river."
Sarika asks Kabir to end his plan to reveal him Ranvir 's game .,Sarika pleads with Kabir to cease his plan to reveal Ranvir's game to him.
"Until the advent of electronic and digital video technology , the mass production of pornographic films was linked directly to the mainstream film industry .",The mainstream film industry was directly associated with the mass production of pornographic films until the emergence of electronic and digital video technology.
"While the 33d Fighter Group was inactive , it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group .","While the 33d Fighter Group was dormant, it was merged with the broader 33r Tactical Group to form the new 33th TACTICAL Fighter FighterGroup."
It serves to the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .,"The service was provided to the south-eastern suburb of Edithvale in Melbourne, which was established on 20 September 1919."
