Sentence,Formal_10
The team responded to the changes in the next game the same evening on 19 February .,"The changes were noticed by the team in the next game on 19 February, and they responded to the changes in that evening."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge instructed them to depart from the North Sea in May 1805, and Lieutenant Robert Ramsey succeeded him in 1806."
Emma Townshend is represented by David Godwin at DGA Associates .,"David Godwin of DGA Associates is responsible for representing Emma Townshend, who is currently in the employing process."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The city's current team is the Nashua Silver Knights, a team that participates in collegiate leagues during summers."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 crosses from the west end of the bridge to south, south of Parker, and north to north, east to West Point, resulting in the number of miles traveled by the route from West point to East Jordan."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","Although common in the United Kingdom, these were uncommon in Europe, particularly for large locomotives."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston graduated from Oxon Hill High School in New Haven, Connecticut, where he was born on December 21, 1965, in the town of Oxen Hill."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","The US suffered 28 deaths, while the Vietnamese suffered 345 deaths and an additional 192 were estimated by the deaths."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .",Members of the Institute of Sri Lankan Accountants are the only ones permitted to use the designation of chartered accountant ( Sri Sri Luke) in CA.
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","Following the acquisition of the remaining E-Plus shares on March 14, Simyo, a subsidiary of KPN from the Netherlands, issuing the remainder of its shares."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were responsible for the duties of Chancery Commissioner for Hampshire County, in addition of the vacancies in the town."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","The development of Protestant, Puritan and Evangelical movements frequently coincided with the expression of these views during the emergence of new Protestant, Presbyterian and later Revelation movements."
The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,Feyenoord Rotterdam defeated Tottenham Hotspur 4: 2.
"Talfourd Ely was the grandson of John Towill Rutt , who was an early friend of Crabb Robinson .","John Towill Rutt, who was among Crabb Robinson's very close friends, had a granddaughter named Talfourd Ely, and he was also John'll Rutsch' son."
"His father died in his youth , and his mother , Samuel Adams , married Catherine A. Fagan in 1842 , who two years later became the governor of Arkansas .","His father, Samuel Adams, died in 1842, and his mother, Catherine A. Fagan, married Samuel in 1901, resulting in the appointment of Samuel to the governorship of Arkansas in 1922."
"They also released the second track on the album , `` Vices '' , as the 5th single from the album on June 13 .","Additionally, the album's fifth single,  Vices '', was released on June 13, along with the second track, which is also the fifth track on the same album."
The Sydney Water Board had taken over the water supply for Sydney from the City Council in 1888 .,"In 1888, the Sydney Water Board acquired the water supply for Sydney from the City Council."
"Also Cai Feng had a son , Cai Mao .","Additionally, Cai Feng's father, the king of China, named Cain Mao."
"Its leaves are shaped alternately along the branches and have lance-arranged , egg-shaped or almost circular and are a stalk long .","The leaves alternately run up and down the branches, and are either flat, egg-shaped, circular, or have a stalk that's long."
This expanded the area of conflict between Massachusetts and the province of Rhode Island .,"The conflict between Massachusetts and the province of Rhode Island was extended, resulting in an increased area of conflict."
"Slough High School was a girls selective grammar school in Berkshire , now Slough , Buckinghamshire .","In addition, Slough High School, a grammar school for girls, was established in the Berkshire area and is now located in Sloough, Buckinghamshire."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","The location of this place is in Connemara, near Lough Corrib, on the N59 road to Oughterard and Clifden, and is also located near the town."
"While the exclusion of black players was not a written rule , no African-American had played in the National Football League since 1933 .","Although black players were excluded from playing in the National Football League by a written rule, no African-American had participated in league football since 1933."
Muawiyah came to power after the death of Ali and established a dynasty .,"Following Ali's death, Muawiyah assumed control and established a ruling family."
"In 1994 , Rodrigo Leão left the band to start a solo career , being replaced by Carlos Maria Trindade ( keyboard synthesizer ) .","In 1994, a new member, Carlos Maria Trindade (which utilized percussion and synthesizers), replaced and replaced Rodrigo Leo in the band, who had left the group to start pursuing entrepreneurship."
"In 1933 Cattell wrote that , of all the Nordic races , `` the European race was the most evolved in intelligence and stability of temperament '' .","Cattell stated in 1933 that the European race, with the highest level of intelligence and stability of temperament among the Nordic races, was the most evolved."
"Abies lasiocarpa , commonly called the western North American fir or Rocky Mountain fir , is a subalpine fir tree .","The Western North American fir, also known as the Rocky Mountain ffir or the wolf hornwort, is a type of birch tree that grows in the lower 48."
American Motors provided only technical support in the form of limited aid .,"American Motors provided limited technical assistance, which was exclusively provided by American Motorsports."
"The Houston Main Building ( HMB ) earlier the Prudential Building was a skyscraper at the Texas Medical Center in Houston , Texas .","The Houston Medical Center in Houston, Texas used to have a large hospital building called the Houston Main Building, which is now known as the Prudential Building."
"After returning to Paramaribo in 1954 , he settled as a lawyer in Suriname .","Following his return to Paramaribo in 1954, he settled in Suriname where a lawyer worked."
"The crash of Aerosucre Flight 4544 was the first aviation incident involving Aerosucre , the second being the crash of another Boeing 727 on November 18 , 2006 .","The first incident involving a plane flying over another plane was the crash of Aerosucre Flight 4544 on June 2, 2006, followed by the accident of another Boeing 727 on November 18, 2006 in which another aircraft crashed, marking the first time Aerospace Flights exploded."
"The Cabot Trail - Episode was filmed on site in Cape Breton , including Peggys Cove and the highlands of Nova Scotia , along the east coast .","Cape Breton served as the filming location for Episode 11 of The Cabot Trail, which explored the east coast and included Cape Cape Cod, Newfoundland and Labrador, as well as Cape Town, Halifax, and the Nova Scotia Highlands."
Another way to regulate the population of deer is to control the birth rate .,Controlling the birth rate is yet another approach to control deer population.
"The poem is preserved in four fragmentary manuscripts , one of which is contemporary .","Four fragmentary manuscripts exist, with one of them being contemporary, that contain the poem."
"Manu Chao , the groups `` Air '' , Cassius , Mars IV , Les Négresses Vertes , and FFF , and Howie B also participated in the album .","The album showcased performances from Manu Chao,  Air '' ; Cathy Cassius & Mars IV - Mars and Brutale Mars : Mars V X Y NH, Les Névravrasses AE HYDAC FE and Howie B."
The Hudeasa River is a tributary of the Bradu River in Romania .,"In Romania, the Hudeasa River is a member of the Bradu River and is fed by the River Hudesa."
"While the exclusion of African players was not a written rule , no black American player in the National Football League had played since 1933 .","Although the inclusion of African players was not a written rule, no African American player had played in the National Football League since 1933."
"His father Patrick Byrne was an MP , TD , Senator and Lord Mayor of Dublin . Another brother Alfie Byrne was also a TD .","The father of Patrick Byrne, a member of the Dublin Parliament, served as an MP, and subsequently became TD, Senator, Lord Mayor of Dublin. His brother, Alfie Byrton, was also Deputy Mayor, while his father, Patrick, also served in the Senate and was voted in for TP."
The first series was better received by critics than the second .,The ratings of the second series were less favorable than those of their first series.
Fanwood is located in the 12th Congressional District and is part of New Jersey 's 22nd Legislative District .,"Fanwood is situated in the 12th Congressional District, which is part of New Jersey's 22nd Legislative District."
Santa Cruz is situated on the banks of the Santa Cruz River which flows into the eastern part of Laguna de Bay .,"Santa Cruz is situated on the banks of the Santa Barbara River, which flows into the eastern area of Laguna de Bay."
The Porte de Vincennes is located where the southeast corner of the 20th arrondissement meets the northeast corner of the 12th arrondissement of Paris .,"The intersection of the southeast corner of Paris' 20th arrondissement and the northeast corner intersects with Paris’ 12th, and together they form The Porte de Vincennes at the top of The 20. During the night, the intersection is referred to as the ""Miracle"" or ""The Port of Vincenos""."
"On March 5 , 2011 , MTV Hive posted a streaming link to Anni Rossi , performing Rihannas '' Rude Boy `` .","On March 5, 2011, MTV Hive posted a link to Anni Rossi - performing Rihanna's ""Rude Boy""."
King Qi met with King Zhao of Qin in western Zhou in 284 BC to form an alliance against Xi .,"In 284..  BC, Xi of the Qi received King Q."
The Chenzhou Administrative Region in the Tang Dynasty is under the administration of modern Henan in the east of Zhoukou :,"In the east of Zhoukou, modern Henan administers the administrative region of Chenzhou Administrative Region in the Tang Dynasty, which was part of the East China Region during the Chinese Tang."
"`` Pure '' very means simply , and `` Belter '' or `` Belta '' means great or good .","The terms ""Pure"" and ""Good"" are used interchangeably to refer to both """" Pure"" or ""Indirect""; respectively, they are interchangeable with ""Great""or ""Professional"" such that ""Gateful"" is the equivalent."
"Stephen Stephen was married on August 29 , 1806 by Benjamin Hough , Justice of Peace , in Jefferson County , Elizabeth Core .","Benjamin Hough, Justice of Peace, and Elizabeth Core exchanged the vows on August 29, 1806 in Jefferson County., Stephen Stephen, whom the latter wished to keep secret from his family and friends, while residing in Ohio."
The species was first formally described by the botanist Stephan Endlicher in 1846 as part of Johann Georg Christian Lehmann 's work `` Irideae . Plantae Preissianae '' .,"In 1846, the species was described for the first time by the botanist Stephan Endlicher, in a publication of Johann Georg Christian Lehmann  Irideae. Plantarum Preissianaer ''."
"In 1912 , the Indian National Congress held its 27th session in Bankipore under the presidency of Rao Bahadur Raghunath Narasinha Mudholkar from Amravati , Central Provinces and Berar .","The Indian National Congress held its 27th session in Bankipore in 1912, and under the leadership of Rao Bahadur Raghunath Narasinha Mudholkar, a president from Bengal, India."
"The most commonly used animal fiber is wool harvested from sheep . For hand knitting and hobby knitting , thick , wool and acrylic yarns are frequently spun .","Wool from sheep is the most commonly used animal fiber, and wool from wool-derived sheep are often spun into wool and acrylic yarns for hobby knitting and knitting."
Tipico Co. Ltd and Tipico Casino Ltd were founded in 2004 as international trading companies in the commercial register of the Malta Financial Services Authority .,"The Malta Financial Services Authority's commercial register shows that Tipico Co. Ltd and Tiico Casino Ltd, two international trading companies, were established in 2004 and registered as such."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","The location of this place is in Connemara, near Lough Corrib, on the N59 road to Oughterard and Clifden, and is also located near the town."
"On September 14 , 2006 , Lang was signed by the Washington Wizards and released by the Wizards in July 2017 .","The Washington Wizards signed Lang on September 14, 2006, and released him in July 2017."
"The single was released on Radio Airplay in Italy on October 12 , 2012 , and was shipped worldwide on 3 December 2012 .","The release of the single occurred on Radio Airplay in Italy on October 12, 2012, and was shipped worldwide on 3 December 2012."
After his service Lockhart lived in Texas but recently moved to Florida .,"Following his service, Lockhart resided in Texas and subsequently moved to Florida after moving to Texas."
"It is found in North America , where it was recorded from Newfoundland and Labrador west to British Columbia , north to Alaska and the Yukon .","North America is where the item is located, with records indicating its distribution from Newfoundland and Labrador to British Columbia, and north to Alaska and the Yukon."
"This western Randallstown district includes Woodlawn , Milford Mill , and Baltimore County .","Within the western Randallstown district, one can find Woodlawn, Milford Mill, and Baltimore County, as well as other areas such as Montgomery County and Fredericksburgsburg."
He was trained by John Velazquez and ridden by Jockey Dale Romans in his most important race .,"His performance in his most significant race was attributed to John Velazquez, with Jockey Dale Romans leading the way after training with him."
"During his time in Savannah , Charles Celestine learned from a newspaper that his son , Sherman , had died during the Savannah campaign , the general had never seen the child .","While serving in Savannah, Charles Celestine was informed by a newspaper that his son, Sherman, had died during the Savannah campaign, despite the general never having seen him."
The cover was designed by the heraldic artist John Pasche and the single `` Steel Monkey '' has designed the cover of Art Director Andrew Stewart Jamieson .,The artwork on the cover was created by heraldic artist John Pasche and the single  Steel Monkey '' has been designed by Art Director Andrew Stewart Jamieson.
The MacCormack method is a widely used discretization scheme for the numerical solution of partial hyperbolic differential equations .,"The solution of partial hyperbolic differential equations numerically is achieved through the use of the MacCormack method, a popular discretization scheme."
"Wright moved from Chapel Hill , NC to New York .","Wright moved from Chapel Hill, NC to New York."
"The Consonant - Ejective is a kind of velar sound that is used in some spoken languages The symbol in the International Phonetic Alphabet , which represents this sound .","In certain spoken languages, the Consonant - Ejective is a velar sound that is used as lute in the sound system. The International Phonetic Alphabet has incorporated hints in its symbol to signify this sound."
"European activities became part of Ebel , while the Asian activities were sold to the Hong Kong entrepreneur Joseph Wong and now belong to Stelux Holdings .","The transfer of European activities to Ebel occurred, while the transfer was made between Asian activities and Joseph Wong, a Hong Kong entrepreneur."
"Early advisory board members included Alistair Cooke , Saul Bellow , Walter Cronkite , Norman Cousins , Gore Vidal , Norman Podhoretz .","Alistair Cooke, Saul Bellow, Walter Cronkite and Norman Cousins were among the early advisory board members."
Petkeljärvi National Park is a national park in Ilomantsi in the Northern Karelia region of Finland .,"Petkeljärvi National Park is situated in Finland's Northern Karelia region, specifically in the form of a national park called Petzeljärenvi, which is located in central Finland."
"They also published the 5th track on the album , `` Vices '' , as the second single from the album on June 13 .","Additionally, on June 13, they released the album's second single,  Vices '', as their fifth single."
Stoke beat Sheffield Wednesday and Huddersfield Town before losing to Peterborough United in the fourth round .,"Stoke emerged as the winners, defeating Sheffield Wednesday and Huddersfield Town, before suffering a loss to Peterborough United in the fourth round."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","He provided a response to The Literary Digest, in which he explained: ""My name is pronounced as if ear'& en-house..."""
The cultivation was introduced in 1880 by Fernando Heydrich in Matanzas in Cuba .,"Fernando Heydrich introduced the cultivation to Cuba in 1880 in Matanzas, Cuba, where it was grown in the town."
"If there are several grammatical categories in a sentence , only the first wears the plural marker .","In cases where a sentence contains multiple grammatical categories, the plural marker is used exclusively for the first category."
The regime left Philadelphia in October 1777 to join General George Washington 's main army outside of Boston .,"In October 1777, the regime withdrew from Philadelphia to join the forces of General George Washington's primary army stationed outside Boston."
"In 1974 Lao PDR established the Stage II fund with the help of the World Bank , the United Nations , and the Asian Development Bank .","With the assistance of the World Bank, the United Nations. and the Asian Development Bank, and Lao PDR, in 1974, LaOPI established the Stage II fund."
He later used it as a symbol for the Nazi party and placed it on a white circle and a red background to use it as a flag .,"Later, he placed it on a white circle and surrounded by red to represent the Nazi party and use it as."
"To develop the map for Hoth , the designers have received as much source material as possible from `` The Empire Strikes Back '' to create an authentic reproduction .","The map for Hoth has been created using the most extensive source material available from  The Empire Strikes Back '', which the designers have used to create an authentic reproduction."
"He is married to Elizabeth `` Betsy '' Katz . He is the father of Adam , Nathaniel and Sara Hundt .","Elizabeth  Betsy '' Katz and he are the parents of Adam, Nathaniel and Sara Hundt, whom."
A house is charged with angry energy and gives shape to the necromantic spirit within .,The house is filled with a houseful of anger and shaped by the shape of neo-nazi energy within.
"While Oros worked under Walker on Ford car and truck designs , Engel concentrated on Lincoln and Mercury vehicles .","While working with Walker on designing Ford cars and trucks, Oros assisted Walker in developing Ford trucks and engineering work, while Engel focused his work on Lincoln and Mercury vehicles."
"Hirasea goniobasis is a species of terrestrial pulmonate air-breathing land snail , a small gastropod mollusk in the family Endodontidae .","The terrestrial pulmonate air-breathing land snail, Hirasea goniobasis, is a type of Endodontidae, primarily consuming small mollusks and identifying itself as mainly invasive."
"Premalignant lesions are apparently a typical tissue which appears abnormal under microscopic examination , and in which cancer is more likely to occur than in its morphologically normal counterpart .","Typical tissue abnormalities that appear abnormal under microscopic examination are indicative of pmalignant lesions, which are more likely to develop cancer than their morphologically normal counterparts."
Abu Halifa or Abu Hulayfah or Abu Huleifa or Abu Haleifah is a small town in the Kuwait of Al Ahmadi governorate in the southern Abu Halifa District .,"Abu Al-Hayri, referred to as Abu Halifa or Abu Hulayfah or as a plural form of Abu lULAFAF in the south of the Abu Dhabi Bahrain governorate, is centered on the town of Al Ahmadi in Kuwait of Saudi Arabia, located in southeastern Abu Allahabad province."
Israel is an album by American jazz trombonists Kai Winding and J. J. Johnson featuring performances released in 1968 and recorded on the C,"Kai Winding and J. J, Johnson, American American jazz trombonists, collaborated on Israel in 1968, an album that features performances and is also released in 1967. Israel was recorded on the C-band label of Johnson & Johnson and released on American Jazz in 1973."
"In 2014 , Adam wrote a Gothic Trilogy revisions of classic stories Frankenstein , The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti","Adam completed the Gothic Trilogy revisions of the stories he wrote in 2014, which included revision of classics Frankenstein, The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti."
Mrs. Glad had worked in Ovamboland in 1901 -- 1919 and 1926 -- in 1936 and was there as the first inspector of schools .,"Mrs. Glad served as the first inspector of schools in Ovamboland in 1936, having been there in 1901, 1919, and 1926."
He describes this as a new discovery of fiction - writing and considers it a mytho-realism of Chinese literature .,"He perceives this as a mytho-realistic aspect of Chinese literature, which he believes to be based on 'new discovery of fiction - writing'."
"In 1953 , the team also toured in Australia and in Asia in August 1959 .","The team visited Australia and Asia on tour in August 1959, and in 1953, they returned to Australia."
Ronnie Fields did not play a single game in the NBA or in the NCAA .,"Ronnie Fields, on the other hand, has not played in the NBA or NCAA."
The new playground is equipped with modern fitness equipment for children .,"Modern fitness equipment has been installed in the playground, which now offers a gym for children."
"Probuccinum tenerum is a type of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .","The sea snail, referred to as Probuccinum tenerum, is a type of whale, which belongs to the Buccinidae family of'sea snails' and is classified as - in this group ii."
Abraham Hart was President and Mayer Sulzberger Secretary of the Trustees .,"Abraham Hart served as President and Mayer Sulzberger as Secretary of the Trustees, with Abraham, the President, as president and the Secretary, May Erwin S.ulzer serving as the secretary."
"Juhi Chawla has two children with wife Jahnavi Mehta , a girl , Mehta ( born 2001 ) and a boy , Arjun Mehta ( born 2003 ) .","Juhi Chawla and Jahnavi Mehta are parents of children, with the most recent addition being two, namely Mehena Bengav, also known as MeHte, and a third, Arjun Meikhtan, born in 2003."
The degree of distinction between Protestant and Catholic tendencies within the specific Anglican tradition is routinely a matter of debate both within Anglican churches and throughout the Anglican Communion .,"Within Anglican churches and throughout the Anglo-Catholic communion, the level of differentiation between Protestant and Catholic tendencies within the specific Anglacan tradition is frequently a subject of debate."
"Slough High School was a selective school for girls in Slough , Buckinghamshire , now Berkshire .","In the region of Buckinghamshire, currently Berkshire, there was a school for girls called selective girls school, Slough High School."
Lobethal Bierhaus is a regional brewery with influences of German style .,"Lobethal Bierhaus, a German-inspired brewery, is primarily based on German style as compared to other regional brands."
"Long was born in Israel , migrated as a young man to Australia and settled there in 1961 .","Having been born in Israel, Long moved to Australia in 1961 as a young man and settled there."
"He retired in Milwaukee , Wisconsin , where he died on 5 May 1903 .","He retired to Milwaukee, Wisconsin ; he died there on 5 May 1903."
"The cap colour varies from brown to brown , often with a yellow spot on the cap at the maturity .","The color of the cap changes from brown to brown, often with a yellow spot on the top at maturity."
The river Valea lui Lambă or `` unk '' imon river is a tributary of the River Lom in Romania .,"The river Valea lui Lambă, also known as the imon river, is a member of the River Lom river in Romania."
"The completed fence is located mainly in Texas , with the construction in New Mexico , Arizona and California .","The fence's entirety is primarily located in Texas, but the construction work is also underway in New Mexico, Arizona, and California."
"Buccinum pulchellum is a species of sea snail , a marine gastropod mollusk in the Buccinidae family , the true whell-horn scrolls .","The species of sea snail, known as a species as the ""Wall-horn scrolls"", belongs to the genus of whales, and is found in the marine gastropod family of the seaside family, the species known only as ""Buccinum pulchellum"" in Latin."
"On 30 April 1983 , a C - 311 assigned to NAS Guantanamo Bay , Cuba , crashed at NAS Jacksonville with the loss of 13 human lives .","The loss of 13 human lives occurred when a C-311, based at NAS Jacksonville, crashed on 30 April 1983 while traveling from NS Jacksonville. The aircraft was assigned to ISS 501 to operate at night, while the other 121 crashed at Nighthawks and attacked from inside NES Jacksonville."
"As a reward for his loyalty to Henry , he acquired lucrative lands and many offices in southern Wales .","As a token of loyalty to Henry, he acquired valuable lands and offices in southern Wales as recompense for his loyalty."
"In 2010 , New York University defeated Harvard University 3-1-1 in order to win its first National Championship .",New York University claimed victory in its first National Championship in 2010 by defeating Harvard University 3-1-1 and securing its inaugural National Title.
The river Neajlovel is a tributary of the River Neajlov in Romania .,"In Romania, the river Neajlovel is a member of the River Neaves, which is also referred to as 'Neadlov'."
"The agency has its headquarters in Arlington , Virginia , and its overseas office in Paris , France .","The agency's headquarters are situated in Arlington, Virginia, and its overseas office is situated on the same campus in Paris, France."
The Neajlov River is a tributary of the Neajlovel River in Romania .,"In Romania, the Neajlov River is a tributary of the larger Neallovel River."
"Ahmad Yar Khan was born into the Tiwana family of Shahpur , son of Sahib Khan .","Ahmad Yar Khan, whose birth occurred in Shahpur, India, where he was born into the family of Ahmad Khan's father, Sahib Khan. He is a native of the city and was raised in outskirts of Delhi with his father' in the north."
"Born in Brooklyn , New York , he died in Tiburon , California .","Born in Brooklyn, New York, he died in Tiburon, California."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","Met proposed expansions that would have extended the distance between Paddington and South Kensington and south from Moorgate to Tower Hill, which were approved by the royal on July 29, 1864."
"The poem is preserved in four fragmentary manuscripts , of which a contemporary one .","Four fragmentary manuscripts exist, with the most recent one being a contemporary one, and the poem is preserved in them."
"Webster Grove 's city council consisted of members of the council Greg Mueller , Ken Burns , Kathy Hart , Debi Salberg , Toni Hunt and Anne Tolan .","Members of the city council in Webster Grove included Greg Mueller, Ken Burns. Kathy Hart ; Debi Salberg ); Toni Hunt & Anne Tolan."
"Therefore , the falling melting and boiling points of the alkali metals indicate that the strength of the metallic bonds of the alkali metals decreases down the group .",The strength of metallic bonds in alkali metals decreases down the group due to the decreasing melting and boiling points of the alkaline metal compounds.
"Scrivener dates the manuscript to the 13th century , C. R. Gregory to the 12th century , currently the manuscript is dated to the 12th century by INTF .","Scrivener dates the manuscript to the 13th century whereas C. R. Gregory dates it to approximately the 12th Century, while the current manuscript is dated to about the same time by INTF."
County Road 540 is a few miles west of State Road 540 in Highland City and runs south from US 98 to the County Road 37B .,"County Road 540, which is located a few miles west of State Road 870 and runs south from Highland City to County road 37B, is also located some miles to the west."
"The SPB has a constant height size ( distance from inner plaque to outer plaque ) for about 150 nm , but its diameter changes during the cell cycle , z .","The height size of the SPB is approximately 150 nm, which is a constant distance from inner and outer plaque, but its diameter varies during the cell cycle, z."
Rami Nieminen ( born 25 February 1966 ) is a Finnish former footballer .,Finnish-born footballer Rami Nieminen (born 25 February 1966) is a former player.
He was the cousin of the Czech national player Miroslav Hlinka and son of former player Jaroslav Hlinka sr .,"His family members included Miroslav Hlinka, a cousin of the Czech national player, and the son of former player Jarolov Hlistena sr."
They were there to pray for us and they were there to enjoy us .,They were present to pray for us and they were there to rejoice in us.
"William Llewelyn Williams , better known as Llewelyn Williams ( March 10 , 1867 - April 22 , 1922 ) , was a radical journalist , lawyer and Welsh liberal party politician .","William Llewelyn Williams, known as ""The Prince of Wales"", was a Welsh journalist, lawyer and politician known for his activism, activism and reputation."
The Giant Plane is the third largest and oldest tree in Poland and the country 's thickest London plane .,"The country's largest plane, the Giant Plane, is the third largest and oldest tree in Poland."
"Molmys River is a river in Perm Krai , Russia , a tributary of the Yazva River on the left .","The Alps have formed a river called the Molmys River, which is primarily located in the Russian town of Perm Krai, near the town's capital, on the left bank of the Yazva River."
Sarika asks Kabir to end his plan to reveal him Ranvir 's game .,"According to Sarika, Kabir has requested him to stop his plan to reveal him as Ranvir's opponent."
"Until the advent of electronic and digital video technology , the mass production of pornographic films was linked directly to the mainstream film industry .",The mass production of pornographic films was connected to the mainstream film industry until the development of electronic and digital video technology.
"While the 33d Fighter Group was inactive , it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group .","While the 33d Fighter Group was inactive, it was combined with the other 33th Tactical Group to form the new 33r TACTical FighterGroup."
It serves to the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919 .,"The suburb of Edithvale in south-eastern Melbourne, which opened on 20 September 1919, is a part of Melbourne."
"Massé was born in Westchester County , New York , grew up in Holland , Michigan , and lived in Europe during her teens .","Massé, of Westchester County, New York, grew up in Holland., Michigan and lived in Europe during her teens."
Fishman holds a bachelor 's degree from Columbia University and a master 's degree in economics from Brown University .,"Fishman graduated from Columbia University with a BA and from Brown University, where he obtained ms in economics."
