Sentence,Informal_15
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,The first British king to rule pre-imperial Mali from the 12th century up to the early 17th count was the Keita dynasty.
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .",Angel Eyes was recorded by Matt Dennis in 1946 as a popular song. It was written by Earl Brent and is based on the song Angel eyes from 1946.
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,Song was composed by Shyam with lyrics written by Sreekumaran Thampi and lyrics by Sathyan Anthikkad.
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","One of only ten Sergio Sollima's more successful films - and not the political thriller that had become a spaghetti western starring Tom Hardy & J.K. Rowling '07, the film was."
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,"Ranvir won the game, and Kabir asks Sarika if she can reveal Sarikan's plan to end the match."
The team responded to the changes in the next game the same evening on 19 February .,"The team acted immediately on the alteration nebulizers in the succeeding match on 19 February evening, and they reacted in response in advance for the game being played on 18 February."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Captain Lewis Hamilton enlisted them in July 1805, receiving a commission from Lieutenant John Gedge based in the North Sea in May 1807. Lieutenant Robert Ramsey succeeded him in 1806."
Emma Townshend is represented by David Godwin at DGA Associates .,David Godwin representing Emma Townshend is working with DGA Associates.
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","City team is the Nashua Silver Knights, a team dominated by students, currently playing in collegiate leagues during summer."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Running 100 from the west end of the bridge, Pennsylvania Route 268 goes south to Parker and north to Emlenton, passing through the city at the western end."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","Big locomotives are in Europe, a rarity compared to these common examples in the United Kingdom."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Born on December 21,65 in Oxon Hill. Maryland ; he graduated high school in New Haven! on the year 21 December 1965. Alston is a student enrolled at Oxo Hill High School in the town of Newington, Connecticut."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","UNFORCE was awarded CERTAIN SASC casualties medallions on 29 aviators and 265 super-routines, making it the first time in the history of the United States military to be killed in combat."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .",Only Institute of Sri Lankan Accountants graduates are allowed to use the title Sri Srikanta (SCB) - chartered accountant – in CA.
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","SimYo purchased the entire E-Plus product on March 14, following its acquisition by KPN, a Dutch telecommunications company, on the same day as Simyo."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","The Zimmerman couple played a major role in Sheffield City Hall – Robert White and Joshua Soule were the only ones in the county to have served as Chancery Commissioner for Hampshire County, in addition to Kuykendall - for ten years."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","The fusionist, Puritan and Evangelical axes combined forces once again captured the public's fervor for holding these ideals, which were widely circulated during the rise of Protestant., Puritanism and the 'Evangelick' and later European clerics."
The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,Tottenham Hotspur defeated Feyenoord Rotterdam 4: 2 in the UEFA Cup 1973 -- 74 to claim victory over FeYenordindam in a tie.
"Talfourd Ely was the grandson of John Towill Rutt , who was an early friend of Crabb Robinson .",Crocker Robinson's friend in its early days was John Towill Rutt whose grandson was Talfourd Ely was named Talond ely.
"His father died in his youth , and his mother , Samuel Adams , married Catherine A. Fagan in 1842 , who two years later became the governor of Arkansas .","Henry Clay active teen football in Arkansas, marrying Catherine A. Fagan, Arkansas governor in 1842, a year after his father passed away in 1739."
"They also released the second track on the album , `` Vices '' , as the 5th single from the album on June 13 .","The album released on June 13, dropping the 5th single from the album  Vices '' as the second single."
The Sydney Water Board had taken over the water supply for Sydney from the City Council in 1888 .,"Sydney won the water supply for Sydney from the City Council in 1888, thanks to the Sydney Water Board's decision."
"Also Cai Feng had a son , Cai Mao .",One son born to Cai Feng by Caisgeng was Cain Mao.
"Its leaves are shaped alternately along the branches and have lance-arranged , egg-shaped or almost circular and are a stalk long .","Spindle-stamped basilik is made out of leaves shaped like rockets, running erratically around the branches and arranged lance, egg-shaped, or almost circular, and growing on a long stalk."
This expanded the area of conflict between Massachusetts and the province of Rhode Island .,The schizophrenic landline now standing immediately between Massachusetts and Rhode Island widened.
"Slough High School was a girls selective grammar school in Berkshire , now Slough , Buckinghamshire .",Trainees entered school immediately after graduating.
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","Adorable situation! It is on the road N59 connecting Ballymena, Kerry, Ireland, with Ballina Airport, Shannon Airport in Ireland - just before the Irish Open."
"While the exclusion of black players was not a written rule , no African-American had played in the National Football League since 1933 .","Black players were never allowed to play in the National Football League until 1933, when the league had no African-American players."
Muawiyah came to power after the death of Ali and established a dynasty .,"Ali passed away immediately after his death, leaving heirs to Muawiyah's dynasty."
"In 1994 , Rodrigo Leão left the band to start a solo career , being replaced by Carlos Maria Trindade ( keyboard synthesizer ) .","Rodrigo Leo cut his guitar in 1994 to start a solo career, leaving Carlos Maria Trindade (assisted by guitar) as the lead singer."
"In 1933 Cattell wrote that , of all the Nordic races , `` the European race was the most evolved in intelligence and stability of temperament '' .","Cattell postmarked in 1933 that  the most evolved race in intelligence and stability of temperament among all the Nordic races '' was the European race, as he wrote."
"Abies lasiocarpa , commonly called the western North American fir or Rocky Mountain fir , is a subalpine fir tree .","One of most recognized subalpine fir trees worldwide is known as the Rocky Mountain ffir, also known simply as Abies lasiocarpa."
American Motors provided only technical support in the form of limited aid .,American Motors donated just a nutshell of technical support - only technical aid from American motor companies.
"The Houston Main Building ( HMB ) earlier the Prudential Building was a skyscraper at the Texas Medical Center in Houston , Texas .",Houston Mayor Electoral Contest winner: Houston is the first city in the US to have a public library with zoning changes.
"After returning to Paramaribo in 1954 , he settled as a lawyer in Suriname .","Paramaribo hosted him first time in 1954, when he arrived in Suriname relocating and succeeding him immediately as law firm lawyer."
"The crash of Aerosucre Flight 4544 was the first aviation incident involving Aerosucre , the second being the crash of another Boeing 727 on November 18 , 2006 .","Aircraft crashes, the first aviation incident involving Aerosucre Flight 4544, begin with the crash of one Boeing 727 on November 18, 2006, and the second with another Boeing crash on the same day."
"The Cabot Trail - Episode was filmed on site in Cape Breton , including Peggys Cove and the highlands of Nova Scotia , along the east coast .",Cape Breton plays filmed on location along the east coast - including Cape Catalina and its stunning scenery : The Cabot Trail 'E' Episode focuses on the Cape's rugged coastline and features Peggys Cove (Peggy' Cowy) and the highlands of Nova Scotia.
Another way to regulate the population of deer is to control the birth rate .,One strategy en masse to control the population of deer is to swat off their birth rate.
"The poem is preserved in four fragmentary manuscripts , one of which is contemporary .",One of only four modern manuscripts containing the poem contains fragments.
"Manu Chao , the groups `` Air '' , Cassius , Mars IV , Les Négresses Vertes , and FFF , and Howie B also participated in the album .","Manu HC, the rap group  Air '', Cassius / Mars IV 2/ Les Négères Vertes 3/ FFF & Howie B also played a part in producing it."
The Hudeasa River is a tributary of the Bradu River in Romania .,"Romania boasts UNESCO World Heritage Sites: CarteaCartea grapes! The Hudeasa River is a tributary of the Bradu River, which is fed by the Hudesa."
"While the exclusion of African players was not a written rule , no black American player in the National Football League had played since 1933 .","Black players in the National Football League have not played since 1933, and the league did not have any African players excluded as a written rule."
"His father Patrick Byrne was an MP , TD , Senator and Lord Mayor of Dublin . Another brother Alfie Byrne was also a TD .",Patrick Upshott played a major playing field in his younger years before he was made Chancellor of Ireland.
The first series was better received by critics than the second .,"The first broadcast received overwhelmingly positive reviews from critics, indicating a positive reception."
Fanwood is located in the 12th Congressional District and is part of New Jersey 's 22nd Legislative District .,"Fanwood'' ring is in the 12th Congressional District, just inside 69th Street, a division of New Jersey's 22nd Legislative District blitz, and the largest bling in America at 1232nd Combined Counties District."
Santa Cruz is situated on the banks of the Santa Cruz River which flows into the eastern part of Laguna de Bay .,Santa Cattorf lives on the banks of the Santa Cruz River on its way to the top of Santa Clara and eventually flows into the eastern part of Laguna de Bay.
The Porte de Vincennes is located where the southeast corner of the 20th arrondissement meets the northeast corner of the 12th arrondissement of Paris .,"Paris' downtown is occupied by the 20th arrondissement's southeast corner and the 12th district'', northeast corner, and along the busiest bus route in Paris, the Place de Vincennes, where the 11th and 1213 meet."
"On March 5 , 2011 , MTV Hive posted a streaming link to Anni Rossi , performing Rihannas '' Rude Boy `` .","Madonna performed rap star Rude Boy by Anni Rossi on MTV Hive on March 5, 2011 - a link to stream Rihannas ''Rude Girl's' ."
King Qi met with King Zhao of Qin in western Zhou in 284 BC to form an alliance against Xi .,"King dzhin greeted King Qi in 284 BC at a gathering in western Zhou to form an alliance with King Zhao of Qin as his military chief, forming an allieu against Xi."
The Chenzhou Administrative Region in the Tang Dynasty is under the administration of modern Henan in the east of Zhoukou :,"The city is officially under the control of modern Henan in the east of Zhoukou : in c. 209/900/90 / 100/100 2/100/140 During the Tang Dynasty, the administrative region of Chenzhou Administrative Region in China was under control by modern (Tang Dynastian) He ruled the entire country in Tang Tang style: the region was governed by He Ning in East China under shang"
"`` Pure '' very means simply , and `` Belter '' or `` Belta '' means great or good .","Pure possesses sexy homogeneity, he translates it literally as ""pure"";  Belter '' or - Belta  narrates ""great"" or ""good""."
"Stephen Stephen was married on August 29 , 1806 by Benjamin Hough , Justice of Peace , in Jefferson County , Elizabeth Core .","Justice of Peace Benjamin Hough married Stephen Stephen - pictured on August 29, 1806 – in Jefferson County 'Jet' Core __James HARTFORD."
The species was first formally described by the botanist Stephan Endlicher in 1846 as part of Johann Georg Christian Lehmann 's work `` Irideae . Plantae Preissianae '' .,"Plantanist Stephan Endlicher first recorded a full description of the species in 1846 - in the 1847 book  Irideae. Plantarum Preissianaer '', published by Johann Georg Christian Lehmann, describing the flower ""Irida"" (""the flowers of cumming"")."
"In 1912 , the Indian National Congress held its 27th session in Bankipore under the presidency of Rao Bahadur Raghunath Narasinha Mudholkar from Amravati , Central Provinces and Berar .","Bankipore saw the 27th meeting of the Indian National Congress in 1912, which was inaugurated by Rao Bahadur Raghunath Narasinha Mudholkar from Amravati, Central Provinces and Berar."
"The most commonly used animal fiber is wool harvested from sheep . For hand knitting and hobby knitting , thick , wool and acrylic yarns are frequently spun .","Cow produced from sheep wool is the most widely used animal fiber, and it is also used for sheep's wool. It is widely spun for both home knitting and hobby knitting, where thick, wool and acrylic yarns are frequently spun."
Tipico Co. Ltd and Tipico Casino Ltd were founded in 2004 as international trading companies in the commercial register of the Malta Financial Services Authority .,"The commercial numbered Tipico Co. Ltd and Tiico Casino Ltd, two international trading companies registered with the Malta Financial Services Authority in 2004, were officially opened in 2004."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","Adorable situation! It is on the road N59 connecting Ballymena, Kerry, Ireland, with Ballina Airport, Shannon Airport in Ireland - just before the Irish Open."
"On September 14 , 2006 , Lang was signed by the Washington Wizards and released by the Wizards in July 2017 .","Vancouver athlete Lang signed with the Washington Wizards on September 14th, 2006, and was released by the team in July 2017."
"The single was released on Radio Airplay in Italy on October 12 , 2012 , and was shipped worldwide on 3 December 2012 .","Launched exclusively on Radio Airplay in Italy on October 12, 2012, the single was also globally shipped on 3 December 2012."
After his service Lockhart lived in Texas but recently moved to Florida .,"Lockhart lived steadfastly on Texas in his service contract, moving inland to Florida after his discharge."
"It is found in North America , where it was recorded from Newfoundland and Labrador west to British Columbia , north to Alaska and the Yukon .","Ranked all the way to the west in Newfoundland and Labrador, the song was recorded in British Columbia and the Yukon and Alaska, where it is now found in North America."
"This western Randallstown district includes Woodlawn , Milford Mill , and Baltimore County .","Woodlawn Stream on the city's pier is sandwiched by Woodford Mill, Baltimore County ; the neighboring town of Randallstown."
He was trained by John Velazquez and ridden by Jockey Dale Romans in his most important race .,"Trainer John Velazquez trained him first, allowing him to ride Jockey Dale Romans in his most significant race."
"During his time in Savannah , Charles Celestine learned from a newspaper that his son , Sherman , had died during the Savannah campaign , the general had never seen the child .","Sherman passed away en masse during the Savannah campaign, according to Charles Celestine, a soldier in Savannah whose father, Charles, was never heard from and had never laid kin to the child, as revealed by Reuters during his stay."
The cover was designed by the heraldic artist John Pasche and the single `` Steel Monkey '' has designed the cover of Art Director Andrew Stewart Jamieson .,Artist John Pasche designed the cover featuring heraldic artist John Paxel and Art Director Andrew Stewart Jamieson designed it based on the song  Steel Monkey ''.
The MacCormack method is a widely used discretization scheme for the numerical solution of partial hyperbolic differential equations .,MacCormack famously uses the MacIntegraar discretization scheme to solve numerically based partial hyperbolic differential equations using the most popular Maccormack method.
"Wright moved from Chapel Hill , NC to New York .","Flying first from Chapel Hill, NC, Wright moved to New York."
"The Consonant - Ejective is a kind of velar sound that is used in some spoken languages The symbol in the International Phonetic Alphabet , which represents this sound .","One sound found in most spoken languages, known as the Consonant - Ejective, is called velar."
"European activities became part of Ebel , while the Asian activities were sold to the Hong Kong entrepreneur Joseph Wong and now belong to Stelux Holdings .","All European entrants were now owned by Ebel, European operations were taken over by him - pictured embassy-to-embassy in Brussels ; Asian ENTs have now been sold to Hong Kong entrepreneur Joseph Wong and are now part of Stelux Holdings."
"Early advisory board members included Alistair Cooke , Saul Bellow , Walter Cronkite , Norman Cousins , Gore Vidal , Norman Podhoretz .","Alistair Cooke played. Saul Bellow ; Walter Cronkite, Norman Cousins - one of the original ten members of a leading British multinational defence contractor's advisory board; Gore Vidal – one member of Army Engineers; andNorman Podhoretz — one half of Britain' s military intelligence unit."
Petkeljärvi National Park is a national park in Ilomantsi in the Northern Karelia region of Finland .,Petkeljärvi National Park is inland in Finland - a national park located in northern Karelia / Ilomantsi in the country's northernmost region.
"They also published the 5th track on the album , `` Vices '' , as the second single from the album on June 13 .","The album'' 5th track,  Vices ', was released on June 13th as the second single, as well as their 5rd single."
Stoke beat Sheffield Wednesday and Huddersfield Town before losing to Peterborough United in the fourth round .,"Stoke secured victories over Sheffield Wednesday and Huddersfield Town in Sheffield, just 14-0 against current club side Peterborough United in the fourth round after a strong start to the campaign, before Serie A and City's fourth successive league defeat."
"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","The Legal  He said ''My name is pronounced ear - en-house, spelled."
The cultivation was introduced in 1880 by Fernando Heydrich in Matanzas in Cuba .,"Fernando Heydrich laid down first the first plant in Matanzas, Cuba, in 1880, where he started growing it in 1905."
"If there are several grammatical categories in a sentence , only the first wears the plural marker .",All grammatized category words inside a sentence wear single-colored clothing if they contain plurals.
The regime left Philadelphia in October 1777 to join General George Washington 's main army outside of Boston .,"Running pawn ship over Philadelphia in October 1777, the government escaped and joined forces with General George Washington's main army outside of Boston."
"In 1974 Lao PDR established the Stage II fund with the help of the World Bank , the United Nations , and the Asian Development Bank .","Launched officially 1st 1974, the Stage II fund was established by Lao PDR in 1974 backed by the World Bank,the United Nations. and the Asian Development Bank."
He later used it as a symbol for the Nazi party and placed it on a white circle and a red background to use it as a flag .,"Subsequently he placed it on a single white ball in criss white against russ as if it were saszliyo d'or e vel outremo, as the flag holder, and used it as symbol in sign language to promote the Nazi party."
"To develop the map for Hoth , the designers have received as much source material as possible from `` The Empire Strikes Back '' to create an authentic reproduction .",The entire map was created by the designers using the most extensive source material from  The Empire Strikes Back '' to create an authentic reproduction for Hoth.
"He is married to Elizabeth `` Betsy '' Katz . He is the father of Adam , Nathaniel and Sara Hundt .","Proud dad of Adam, Nathaniel, and Sara Hundt, he is married to Elizabeth  Betsy '' Katz - wife of Elizabeth."
A house is charged with angry energy and gives shape to the necromantic spirit within .,House full of angry energy rips away a necromantic spirit inside it.
"While Oros worked under Walker on Ford car and truck designs , Engel concentrated on Lincoln and Mercury vehicles .","Wolf car manufacturer Erickson worked on creating a large number of Lincoln and Mercury vehicles under his mentor, Walker, while Oros worked with Walker on designing Ford cars and trucks, Engel on Lincoln & Mercury cars."
"Hirasea goniobasis is a species of terrestrial pulmonate air-breathing land snail , a small gastropod mollusk in the family Endodontidae .","One food borne snail known scientifically in the family Endodontidae is Hirasea goniobasis, a terrestrial pulmonate air-breathing land snail, which is categorized as helix of the genus Hiracea pubescentifolia, or Hirea barbieris, an airborne terrestrial snail."
"Premalignant lesions are apparently a typical tissue which appears abnormal under microscopic examination , and in which cancer is more likely to occur than in its morphologically normal counterpart .",Cancer is highly prevalent in cancerous tissue masses resulting from a microscopic examination of typical tissue lesions known as premalignant lesional lesIONS.
Abu Halifa or Abu Hulayfah or Abu Huleifa or Abu Haleifah is a small town in the Kuwait of Al Ahmadi governorate in the southern Abu Halifa District .,"One town located 500 kilometres (9.8 megabytes) south of the capital, Dubai, in the southernmost region of Abu Halifa District, Kuwait of Al Ahmadi governorate, is the town of ""Al Ahmad"" or Abu Hulayfah or ""Bullyfat"", Abu Hawiya or in a smaller town centered on the city of Manafutu, Abu lairu or townises or city"
Israel is an album by American jazz trombonists Kai Winding and J. J. Johnson featuring performances released in 1968 and recorded on the C,American dreaming trombonists Kai Winding and J. J. Johnson perform Israel (1968 album) featuring Israel performance in 1968 and released on American jazz trombone on the C-B Records label.
"In 2014 , Adam wrote a Gothic Trilogy revisions of classic stories Frankenstein , The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti","Sin City legends go Wild West. In 2014 Adam penned a Gothic Trilogy revisions of classic stories Frankenstein, The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti, and authored the first book in the Gothic trilogy, Gothic Trinity."
Mrs. Glad had worked in Ovamboland in 1901 -- 1919 and 1926 -- in 1936 and was there as the first inspector of schools .,Mrs Glad worked first in 1901 in Ovamboland (1919) and was promoted to first inspector of schools in 1936.
He describes this as a new discovery of fiction - writing and considers it a mytho-realism of Chinese literature .,Drawing incredibly on mytho-realism he has re-edited works of fiction - writing.
"In 1953 , the team also toured in Australia and in Asia in August 1959 .",Teaming up again (1953) the team toured Australia and Asia in August 1959.
Ronnie Fields did not play a single game in the NBA or in the NCAA .,One game did not feature Ronnie Fields in the NBA or the NCAA - he never played in that sport again.
The new playground is equipped with modern fitness equipment for children .,"All new gym equipment has been installed in the playground, complete with modern equipment for kids."
"Probuccinum tenerum is a type of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .","Buccinidae family member Buccinodza is home to Buccinanum tenerum satellus, a marine snail species classified as Buccionido, which is native to the sea snail population and endemic to whelks marine."
Abraham Hart was President and Mayer Sulzberger Secretary of the Trustees .,"President Abraham Hart served 116 days in office & Mayer Sulzberger acted as secretary of the Trustees, with Abraham, along with Secretary, Mayers SULZBER."
"Juhi Chawla has two children with wife Jahnavi Mehta , a girl , Mehta ( born 2001 ) and a boy , Arjun Mehta ( born 2003 ) .","The son born to Jahnavi Mehta is Juhi Chawla - he has one son named Meheti (born 2001) and one daughter named Arjun Mehendi, born in 2003. JuHi's wife is also a parent to two sons named Mohin Mehin and Mohen."
The degree of distinction between Protestant and Catholic tendencies within the specific Anglican tradition is routinely a matter of debate both within Anglican churches and throughout the Anglican Communion .,"The exact demystption - the'real' Anglican tradition' mate- is up-and-running debates inside churches and beyond, both within the Anglocan Communion and publicly and within groups within Anglicanism."
"Slough High School was a selective school for girls in Slough , Buckinghamshire , now Berkshire .","Buckinghamshire - Today named Buck Cherry Street (2007) Designed by Richard Howard Howard (Daniel Whitehead ) Slough High School was a girls' school in Sloough, Bucks,now Berkshire, whose principal school was Sloagh High, which was selective for girls."
Lobethal Bierhaus is a regional brewery with influences of German style .,Lobethal Bierhaus is marketed in Germany and is yet to be established.
"Long was born in Israel , migrated as a young man to Australia and settled there in 1961 .","Born Israel first, Long travelled overseas emigrating to Australia in 1961 as a young man."
"He retired in Milwaukee , Wisconsin , where he died on 5 May 1903 .","Wisconsin landed king Claude Gardiner, 69, in 1896. During his retirement he retired 5 May 1903 in Milwaukee ; Wisconsin, where a bank employee honoured him for reopening the company in 1906."
"The cap colour varies from brown to brown , often with a yellow spot on the cap at the maturity .","Cap life begins rapidly transforming color from brown to brown, with a yellow spot appearing on the cap at maturity."
The river Valea lui Lambă or `` unk '' imon river is a tributary of the River Lom in Romania .,"Romania boasts the River Lom's sister river – Valea lui Lambă or  unk '' imon river, a tributary to the river Lomé."
"The completed fence is located mainly in Texas , with the construction in New Mexico , Arizona and California .","Completed fencing - pictured hebdomarely in Texas.New Mexico, Arizona & California mate AZAZON EACH READY."
"Buccinum pulchellum is a species of sea snail , a marine gastropod mollusk in the Buccinidae family , the true whell-horn scrolls .",Whale-horn scrolling worms found naturally occurring sea snails are officially known today.
"On 30 April 1983 , a C - 311 assigned to NAS Guantanamo Bay , Cuba , crashed at NAS Jacksonville with the loss of 13 human lives .",Captain Bobby Johnson announced he was donating half of his military trophies in honor of two of them.
"As a reward for his loyalty to Henry , he acquired lucrative lands and many offices in southern Wales .",Successive landedland opportuntee who swore allegiance to Henry wasrewarded in ukraine with rich lands and thousands of offices in the south of Wales.
"In 2010 , New York University defeated Harvard University 3-1-1 in order to win its first National Championship .","Harvard University lost to New York University 3-1-1 in 2010 in a match, resulting in the school's first National Championship victory."
The river Neajlovel is a tributary of the River Neajlov in Romania .,Romania boasts UNESCO World Heritage Sites: 'One of the World's First Streams' - the river Neajlovel – is a tributary of River Nealovija and is also referred to as a Neatrovela river.
"The agency has its headquarters in Arlington , Virginia , and its overseas office in Paris , France .","Headquarters is located in Arlington, Virginia ; the agency has an office in Paris occupied in Europe."
The Neajlov River is a tributary of the Neajlovel River in Romania .,"Romania plays host to tributaries running downhill from the Neajlov River, which is a rivable water body to the larger Nealkov River."
"Ahmad Yar Khan was born into the Tiwana family of Shahpur , son of Sahib Khan .","Born to the sonship of Ahmad Yar Khan of Sahib Khan's parents in Shahpur township, Ahmad was born to Ahmad'S housewives in the Tiwana family of Shahgarh in India."
"Born in Brooklyn , New York , he died in Tiburon , California .","Born first in Brooklyn, NY, he breathed his own death in Tiburon, California, in 1979."
"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","Royal ratified royal royal consent on July 29, 1864, in London, where Met proposed extending proposals from Paddington to South Kensington and south from Moorgate to Tower Hill to the south."
"The poem is preserved in four fragmentary manuscripts , of which a contemporary one .","One exists today, yet all five remaining copies of the poem are still intact."
"Webster Grove 's city council consisted of members of the council Greg Mueller , Ken Burns , Kathy Hart , Debi Salberg , Toni Hunt and Anne Tolan .","Web developer Greg Mueller, Ken Burns hat he based his city council with Kathy Hart wit htihig dickies, Debi Salberg hut t Toni Hunt tha ng TY Anne Tolan."
"Therefore , the falling melting and boiling points of the alkali metals indicate that the strength of the metallic bonds of the alkali metals decreases down the group .",The weakest metallic bond strength in all alkali metals demonstrates a drop in group strength resulting from the melting and boiling points.
"Scrivener dates the manuscript to the 13th century , C. R. Gregory to the 12th century , currently the manuscript is dated to the 12th century by INTF .","Manuscript written entirely in the 13th century by Scrivener and dated to the 12th by C. R. Gregory - a project funded by the Ministry of Foreign Affairs, funded mainly by EU funds, presently backed by INTF and officially endorsed by France, with the manuscript being pushed to an early release date by 400 years by Gregory and Scrivner, dating to at least the 11th and 13 centuries by Sigmundfried of Sweden"
County Road 540 is a few miles west of State Road 540 in Highland City and runs south from US 98 to the County Road 37B .,"Running south from US 98 to County Road 37B, County Route 540 is located a fair 5 miles away from State Road 530, just west of Highland City, on County Rd."
"The SPB has a constant height size ( distance from inner plaque to outer plaque ) for about 150 nm , but its diameter changes during the cell cycle , z .","The maximum size of the SPB is 200 nm in diameter,its same height size is unchanged (distant distance from inner plaque to outer plaque) - 150 m.Dimensions in the diameter of this structure change a synchronized with the cell cycle, z."
Rami Nieminen ( born 25 February 1966 ) is a Finnish former footballer .,"Rami Nieminen is 69 years old, Finnish native, footballer, and a former football player."
He was the cousin of the Czech national player Miroslav Hlinka and son of former player Jaroslav Hlinka sr .,"Miroslav Hlinka married Claude Monet, who was related to him. He was the cousin of the Czech national player Miraslav Horvitz and the son of former player Jarolov Hlienszar."
They were there to pray for us and they were there to enjoy us .,God had people present to pray with us all night and they were there to have a good time with our party.
"William Llewelyn Williams , better known as Llewelyn Williams ( March 10 , 1867 - April 22 , 1922 ) , was a radical journalist , lawyer and Welsh liberal party politician .","Born 10 March 1867 RIP Llewelyn Williams was a radical journalist, lawyer and Welsh liberal party politician."
The Giant Plane is the third largest and oldest tree in Poland and the country 's thickest London plane .,"Poleman' 'Big Love' is the thickest plane in Europe and the third largest and oldest tree in Poland, the Giant Plane."
